"equipo","semilla","beta_x1","beta_x2","sigma_u","a0","paso","gB_int","gB_x1","gB_x2","gC_int","gC_x1","gC_x2","theta1","theta2","bord_x1","bord_x2","sigma_w","HR_x1","HR_x2"
"equipo_01",240101,0.7,-0.55,0.55,-3,0.14,-0.3,0.6,-0.35,-0.7,1,0.4,-0.6,0.9,0.7,-0.45,0.5,2.014,0.577
"equipo_02",240102,0.85,-0.65,0.7,-2.9,0.16,-0.2,0.7,-0.4,-0.8,1.1,0.5,-0.55,0.95,0.8,-0.5,0.6,2.34,0.522
"equipo_03",240103,1,-0.45,0.45,-3.15,0.2,-0.4,0.8,-0.3,-0.6,1.2,0.3,-0.7,0.8,0.9,-0.4,0.4,2.718,0.638
"equipo_04",240104,0.6,-0.75,0.8,-2.8,0.12,-0.1,0.5,-0.5,-0.9,0.9,0.6,-0.45,1.05,0.65,-0.6,0.7,1.822,0.472
"equipo_05",240105,0.9,-0.5,0.6,-3.1,0.18,-0.35,0.75,-0.25,-0.75,1.15,0.45,-0.65,0.85,0.85,-0.55,0.55,2.46,0.607
"equipo_06",240106,0.75,-0.6,0.5,-2.95,0.15,-0.25,0.65,-0.45,-1,1.05,0.55,-0.5,1,0.75,-0.35,0.45,2.117,0.549
"equipo_07",240107,1.05,-0.4,0.75,-3.2,0.22,-0.45,0.85,-0.2,-0.55,1.25,0.35,-0.8,0.75,0.95,-0.5,0.65,2.858,0.67
"equipo_08",240108,0.65,-0.7,0.65,-2.85,0.13,-0.15,0.55,-0.55,-0.85,0.95,0.65,-0.4,1.1,0.6,-0.65,0.75,1.916,0.497
"equipo_09",240109,0.95,-0.55,0.85,-3.05,0.19,-0.5,0.9,-0.3,-0.65,1.3,0.25,-0.75,0.9,1,-0.45,0.35,2.586,0.577
"equipo_10",240110,0.8,-0.65,0.4,-2.75,0.1,-0.05,0.45,-0.4,-0.95,0.85,0.5,-0.6,0.95,0.7,-0.7,0.6,2.226,0.522
"equipo_11",240111,0.72,-0.58,0.58,-2.98,0.155,-0.28,0.62,-0.33,-0.72,1.02,0.42,-0.58,0.92,0.72,-0.47,0.52,2.054,0.56
"equipo_12",240112,0.88,-0.68,0.72,-2.88,0.175,-0.18,0.72,-0.38,-0.82,1.12,0.52,-0.53,0.97,0.82,-0.52,0.62,2.411,0.507
"equipo_13",240113,0.62,-0.48,0.48,-3.12,0.205,-0.38,0.82,-0.28,-0.62,1.22,0.32,-0.68,0.82,0.92,-0.42,0.42,1.859,0.619
"equipo_14",240114,0.98,-0.72,0.78,-2.82,0.115,-0.12,0.52,-0.48,-0.92,0.92,0.62,-0.43,1.07,0.67,-0.62,0.72,2.664,0.487
"equipo_15",240115,0.78,-0.52,0.62,-3.08,0.185,-0.33,0.77,-0.23,-0.77,1.17,0.47,-0.63,0.87,0.87,-0.57,0.57,2.181,0.595
"equipo_16",240116,0.68,-0.63,0.52,-2.92,0.135,-0.23,0.67,-0.43,-0.98,1.07,0.57,-0.48,1.02,0.77,-0.37,0.47,1.974,0.533
"equipo_17",240117,1.02,-0.43,0.68,-3.18,0.215,-0.43,0.87,-0.22,-0.57,1.27,0.37,-0.78,0.77,0.97,-0.48,0.67,2.773,0.651
"equipo_18",240118,0.82,-0.67,0.82,-2.78,0.145,-0.08,0.57,-0.53,-0.87,0.97,0.63,-0.42,1.08,0.62,-0.67,0.73,2.27,0.512
"equipo_19",240119,0.92,-0.53,0.44,-3.02,0.195,-0.48,0.88,-0.32,-0.67,1.28,0.27,-0.73,0.93,0.98,-0.43,0.37,2.509,0.589
"equipo_20",240120,0.73,-0.62,0.66,-2.86,0.125,-0.36,0.47,-0.42,-0.93,0.87,0.48,-0.62,0.98,0.68,-0.68,0.58,2.075,0.538
