"equipo","N","tasa_evento","p_censura","HR_x1","HR_x2","A","B","Cc","Leve","Moderado","Grave"
"equipo_01",834,0.243,0.757,2.01,0.58,0.45,0.26,0.29,0.4,0.31,0.3
"equipo_02",846,0.277,0.723,2.34,0.52,0.46,0.32,0.23,0.45,0.28,0.27
"equipo_03",811,0.238,0.762,2.72,0.64,0.44,0.25,0.3,0.4,0.26,0.34
"equipo_04",808,0.339,0.661,1.82,0.47,0.45,0.31,0.24,0.43,0.3,0.27
"equipo_05",852,0.309,0.691,2.46,0.61,0.48,0.25,0.28,0.4,0.27,0.33
"equipo_06",864,0.266,0.734,2.12,0.55,0.43,0.33,0.24,0.4,0.29,0.31
"equipo_07",803,0.308,0.692,2.86,0.67,0.44,0.25,0.31,0.37,0.29,0.34
"equipo_08",855,0.251,0.749,1.92,0.5,0.43,0.28,0.29,0.48,0.28,0.24
"equipo_09",936,0.335,0.665,2.59,0.58,0.47,0.24,0.29,0.38,0.34,0.28
"equipo_10",893,0.259,0.741,2.23,0.52,0.43,0.33,0.23,0.39,0.31,0.3
