"equipo","semilla","mult_tasa","mult_efecto","theta_frail","weib_shape","sigma_ag","nu_gamma","mult_coste","persistencia"
"equipo_01",260101,0.8,0.9,0.8,1.05,0.45,1.6,0.9,0.55
"equipo_02",260102,1.2,1.2,1.3,1.25,0.65,2,1.15,0.6
"equipo_03",260103,1,1,1.2,1.15,0.5,1.8,1,0.58
"equipo_04",260104,0.9,0.85,1.6,1.3,0.75,2.2,1.2,0.62
"equipo_05",260105,1.3,1.3,0.9,1,0.55,1.5,0.95,0.52
"equipo_06",260106,0.7,0.75,1.4,1.35,0.6,1.9,1.1,0.6
"equipo_07",260107,1.1,1.1,1,1.1,0.7,1.7,1.05,0.56
"equipo_08",260108,0.95,0.95,1.5,1.2,0.4,2.1,1.25,0.64
"equipo_09",260109,1.25,1.25,1.1,1.05,0.6,1.6,0.9,0.54
"equipo_10",260110,0.85,0.8,0.7,1.15,0.5,1.4,0.85,0.58
