"id_poliza","k","t_k","coste_k","anio"
2,1,1.5874,2629.07,2
2,2,2.6722,11951.04,3
2,3,5.3732,5448.35,6
2,4,5.6544,4597.48,6
2,5,5.896,8326.38,6
2,6,7.3439,5838.17,8
2,7,7.471,9605.17,8
2,8,7.7947,4624.04,8
7,1,0.294,1996,1
7,2,1.6146,2311.09,2
8,1,0.4311,1432.83,1
8,2,0.6826,473.7,1
8,3,1.7689,1850.93,2
8,4,2.266,4887.71,3
8,5,2.3305,2085.24,3
8,6,2.6732,12609.94,3
8,7,3.1966,2058.23,4
9,1,2.0518,2184.2,3
10,1,0.9043,3742.16,1
10,2,1.6454,3208.89,2
13,1,2.5977,4394.61,3
17,1,5.7596,4779.43,6
22,1,0.8472,1574.99,1
22,2,1.9345,857.28,2
22,3,3.7138,2406.82,4
23,1,2.1826,5145.92,3
26,1,1.6105,849.5,2
27,1,5.0581,7728.56,6
27,2,5.3015,541.17,6
28,1,1.2616,2212.37,2
28,2,2.4515,1534.5,3
31,1,6.9731,1433.2,7
32,1,0.1339,1449.65,1
32,2,3.5319,611.93,4
33,1,3.1193,4185.94,4
34,1,1.2375,3331.5,2
34,2,1.2564,7910.32,2
35,1,2.1138,2060.98,3
36,1,1.4594,6904.6,2
36,2,2.7815,2591.71,3
36,3,3.5979,4314.46,4
41,1,0.4042,1009.93,1
46,1,0.9487,1850.33,1
48,1,5.9114,3113.75,6
48,2,8.3516,5523.25,9
48,3,8.4888,6471.27,9
55,1,1.8407,1365.58,2
55,2,4.0216,4010.05,5
55,3,5.9305,3404.11,6
58,1,1.698,5535.04,2
59,1,1.6098,1872.42,2
60,1,5.8738,2501.57,6
63,1,2.2964,1753.19,3
65,1,1.6475,4981.4,2
71,1,5.8669,404.35,6
71,2,6.3374,3161.95,7
71,3,7.1172,1357.19,8
71,4,8.2741,3531.89,9
71,5,8.4622,7286.41,9
73,1,3.0478,1761.17,4
76,1,2.4409,2217.98,3
76,2,2.819,164.72,3
77,1,1.8244,553.73,2
77,2,2.1234,686.97,3
77,3,5.854,2835.4,6
81,1,1.7758,2075.69,2
81,2,2.6912,5048.22,3
81,3,6.2766,2373.6,7
81,4,6.9134,4443.64,7
81,5,7.3296,863.69,8
86,1,3.2134,4157.5,4
86,2,3.7236,4890.93,4
86,3,5.9135,7403.35,6
87,1,4.7004,3084.03,5
89,1,0.6617,1909.34,1
89,2,2.0156,1826.59,3
89,3,3.0686,2558.33,4
89,4,5.1751,1840.58,6
89,5,5.9883,440.44,6
89,6,8.0521,1418.45,9
93,1,1.1849,1112.8,2
94,1,0.0112,8291.49,1
94,2,0.8341,2154.88,1
94,3,0.9482,2400.24,1
94,4,1.1854,1664.27,2
94,5,1.3902,828.42,2
94,6,1.9943,1378.47,2
94,7,2.0581,4235.1,3
94,8,2.0755,3593.87,3
94,9,2.4059,3025.97,3
94,10,2.415,1099.44,3
94,11,2.7116,2693.94,3
96,1,0.4245,836.59,1
96,2,2.0337,1421.82,3
100,1,1.8803,2027.4,2
100,2,9.0337,6830.88,10
101,1,4.1337,1557.5,5
103,1,3.2517,2680.76,4
104,1,2.5616,5942.94,3
104,2,4.1173,2742.88,5
105,1,0.777,2779.11,1
105,2,4.0788,2912.28,5
107,1,5.82,1359.58,6
107,2,9.5429,493.95,10
109,1,1.6487,3798.93,2
113,1,0.0837,2045.03,1
114,1,0.99,7069.47,1
114,2,3.2011,4287.15,4
114,3,3.5545,3002.11,4
116,1,1.6621,98.66,2
119,1,1.3742,2619.37,2
119,2,1.5533,3043.55,2
126,1,1.5016,1426.27,2
131,1,4.2792,1761.69,5
131,2,4.965,5848.69,5
132,1,1.9296,4295.04,2
137,1,5.6458,1382.02,6
142,1,1.8674,4645.41,2
145,1,0.3912,466.78,1
146,1,0.4031,5589.99,1
147,1,1.1305,1336.48,2
147,2,3.6285,1906.52,4
148,1,4.4391,533.86,5
151,1,3.5471,4944.67,4
151,2,6.545,1554.4,7
153,1,2.3648,1463.46,3
155,1,3.3171,2846.76,4
155,2,5.0892,4434.83,6
158,1,0.0247,418.72,1
158,2,1.8092,6577.88,2
158,3,1.8195,2969.09,2
158,4,2.2239,2697.98,3
158,5,2.8774,1351.13,3
158,6,3.0734,7763.23,4
158,7,3.5344,1944.61,4
158,8,4.2251,5699.36,5
158,9,6.519,2745.56,7
158,10,6.8952,2179.82,7
158,11,6.9017,4484.03,7
164,1,4.0822,4902.48,5
166,1,5.3395,1793.09,6
176,1,1.0143,2448.41,2
177,1,1.3735,4133.74,2
181,1,1.4516,2904.49,2
187,1,4.3237,3110.66,5
187,2,5.5164,9300.55,6
187,3,5.6148,3870.1,6
188,1,1.6745,8084.86,2
188,2,1.7562,2368.13,2
188,3,1.7795,5172.31,2
188,4,2.5292,7443.17,3
188,5,2.829,13047.95,3
188,6,3.1913,3317.38,4
188,7,4.039,1879.68,5
188,8,4.2961,6092.31,5
190,1,1.4489,4849.9,2
191,1,0.5994,4053.75,1
191,2,0.6426,2299.52,1
193,1,1.207,7382.32,2
194,1,5.2023,1377,6
195,1,2.6072,3704.36,3
200,1,0.7185,957.99,1
200,2,1.3397,1347.43,2
201,1,0.9322,1358.42,1
201,2,1.1367,3139.49,2
201,3,1.7735,3489.68,2
201,4,2.3735,3862.34,3
