"id_poliza","anio","tstart","tstop","expo_anual","n_partes_anual","edad_t","antig_veh_t","en_riesgo"
1,1,0,1,1,1,33,6,1
1,2,1,1.082,0.082,0,34,7,1
2,1,0,1,1,0,44,12,1
2,2,1,2,1,0,45,13,1
2,3,2,3,1,0,46,14,1
2,4,3,4,1,0,47,15,1
2,5,4,5,1,0,48,16,1
2,6,5,6,1,0,49,17,1
2,7,6,6.687,0.687,0,50,18,1
3,1,0,1,1,1,62,6,1
3,2,1,2,1,1,63,7,1
3,3,2,3,1,2,64,8,1
3,4,3,4,1,0,65,9,1
3,5,4,5,1,0,66,10,1
3,6,5,5.732,0.732,0,67,11,1
4,1,0,1,1,0,25,9,1
4,2,1,1.397,0.397,0,26,10,1
5,1,0,1,1,0,66,10,1
5,2,1,1.968,0.968,0,67,11,1
6,1,0,1,1,1,25,6,1
6,2,1,2,1,0,26,7,1
6,3,2,3,1,0,27,8,1
6,4,3,3.159,0.159,0,28,9,1
7,1,0,1,1,1,18,11,1
7,2,1,2,1,0,19,12,1
7,3,2,3,1,1,20,13,1
7,4,3,3.821,0.821,1,21,14,1
8,1,0,1,1,0,44,10,1
8,2,1,2,1,0,45,11,1
8,3,2,3,1,0,46,12,1
8,4,3,4,1,0,47,13,1
8,5,4,5,1,0,48,14,1
8,6,5,6,1,0,49,15,1
8,7,6,7,1,0,50,16,1
8,8,7,7.807,0.807,0,51,17,1
9,1,0,1,1,0,49,19,1
9,2,1,2,1,0,50,20,1
9,3,2,3,1,0,51,21,1
9,4,3,4,1,0,52,22,1
9,5,4,4.022,0.022,0,53,23,1
10,1,0,1,1,0,36,4,1
10,2,1,2,1,0,37,5,1
10,3,2,3,1,0,38,6,1
10,4,3,4,1,0,39,7,1
10,5,4,4.42,0.42,0,40,8,1
11,1,0,1,1,0,77,7,1
11,2,1,2,1,1,78,8,1
11,3,2,3,1,0,79,9,1
11,4,3,3.143,0.143,0,80,10,1
12,1,0,1,1,0,36,12,1
12,2,1,2,1,0,37,13,1
12,3,2,2.729,0.729,1,38,14,1
13,1,0,1,1,0,39,19,1
13,2,1,1.834,0.834,0,40,20,1
14,1,0,1,1,0,63,4,1
14,2,1,2,1,0,64,5,1
14,3,2,3,1,0,65,6,1
14,4,3,4,1,0,66,7,1
14,5,4,5,1,0,67,8,1
14,6,5,5.996,0.996,0,68,9,1
15,1,0,1,1,0,54,7,1
15,2,1,2,1,0,55,8,1
15,3,2,3,1,0,56,9,1
15,4,3,4,1,0,57,10,1
15,5,4,5,1,0,58,11,1
15,6,5,6,1,0,59,12,1
15,7,6,7,1,0,60,13,1
15,8,7,7.02,0.02,0,61,14,1
16,1,0,1,1,0,31,6,1
16,2,1,2,1,1,32,7,1
16,3,2,3,1,0,33,8,1
16,4,3,3.94,0.94,1,34,9,1
17,1,0,1,1,0,48,6,1
17,2,1,2,1,0,49,7,1
17,3,2,3,1,0,50,8,1
17,4,3,4,1,0,51,9,1
17,5,4,4.561,0.561,0,52,10,1
18,1,0,1,1,0,31,14,1
18,2,1,2,1,0,32,15,1
18,3,2,3,1,0,33,16,1
18,4,3,4,1,0,34,17,1
18,5,4,5,1,0,35,18,1
18,6,5,6,1,0,36,19,1
18,7,6,7,1,0,37,20,1
18,8,7,8,1,0,38,21,1
18,9,8,8.745,0.745,0,39,22,1
19,1,0,1,1,0,60,6,1
19,2,1,2,1,0,61,7,1
19,3,2,3,1,0,62,8,1
19,4,3,3.271,0.271,0,63,9,1
20,1,0,1,1,0,61,0,1
20,2,1,2,1,0,62,1,1
20,3,2,3,1,0,63,2,1
20,4,3,4,1,0,64,3,1
20,5,4,4.982,0.982,0,65,4,1
21,1,0,1,1,1,32,17,1
21,2,1,2,1,0,33,18,1
21,3,2,3,1,0,34,19,1
21,4,3,4,1,0,35,20,1
21,5,4,5,1,0,36,21,1
21,6,5,6,1,1,37,22,1
21,7,6,7,1,0,38,23,1
21,8,7,7.151,0.151,0,39,24,1
22,1,0,1,1,0,32,10,1
22,2,1,2,1,1,33,11,1
22,3,2,3,1,1,34,12,1
22,4,3,3.409,0.409,0,35,13,1
23,1,0,1,1,0,32,9,1
23,2,1,1.813,0.813,1,33,10,1
24,1,0,1,1,0,79,15,1
24,2,1,2,1,0,80,16,1
24,3,2,2.837,0.837,0,81,17,1
25,1,0,1,1,1,18,5,1
25,2,1,1.324,0.324,0,19,6,1
26,1,0,0.557,0.557,0,70,4,1
27,1,0,1,1,0,78,3,1
27,2,1,2,1,0,79,4,1
27,3,2,3,1,0,80,5,1
27,4,3,4,1,0,81,6,1
27,5,4,5,1,0,82,7,1
27,6,5,6,1,0,83,8,1
27,7,6,7,1,0,84,9,1
27,8,7,8,1,0,85,10,1
27,9,8,9,1,0,86,11,1
27,10,9,9.05,0.05,0,87,12,1
28,1,0,1,1,0,69,9,1
28,2,1,2,1,2,70,10,1
28,3,2,3,1,1,71,11,1
28,4,3,4,1,0,72,12,1
28,5,4,5,1,2,73,13,1
28,6,5,6,1,0,74,14,1
28,7,6,6.206,0.206,1,75,15,1
29,1,0,1,1,0,36,12,1
29,2,1,2,1,0,37,13,1
29,3,2,2.104,0.104,0,38,14,1
30,1,0,1,1,0,31,11,1
30,2,1,2,1,0,32,12,1
30,3,2,3,1,0,33,13,1
30,4,3,4,1,0,34,14,1
30,5,4,5,1,0,35,15,1
30,6,5,6,1,0,36,16,1
30,7,6,6.349,0.349,0,37,17,1
31,1,0,1,1,0,20,12,1
31,2,1,2,1,0,21,13,1
31,3,2,2.168,0.168,0,22,14,1
32,1,0,1,1,0,54,0,1
32,2,1,2,1,0,55,1,1
32,3,2,3,1,0,56,2,1
32,4,3,4,1,0,57,3,1
32,5,4,4.871,0.871,0,58,4,1
33,1,0,1,1,0,48,9,1
33,2,1,2,1,0,49,10,1
33,3,2,2.581,0.581,0,50,11,1
34,1,0,1,1,0,38,7,1
34,2,1,2,1,0,39,8,1
34,3,2,3,1,0,40,9,1
34,4,3,4,1,0,41,10,1
34,5,4,5,1,0,42,11,1
34,6,5,6,1,0,43,12,1
34,7,6,7,1,0,44,13,1
34,8,7,7.244,0.244,0,45,14,1
35,1,0,1,1,0,55,18,1
35,2,1,2,1,0,56,19,1
35,3,2,3,1,0,57,20,1
35,4,3,4,1,0,58,21,1
35,5,4,4.537,0.537,0,59,22,1
36,1,0,1,1,0,37,7,1
36,2,1,2,1,0,38,8,1
