"id_poliza","id_agencia","id_region","antiguedad","exposicion","edad_conductor","edad_tramo","antiguedad_carnet","potencia_cv","cilindrada","antiguedad_vehiculo","valor_vehiculo","densidad","zona_circulacion","km_anuales","uso","tipo_vehiculo","combustible","sexo","color_vehiculo","estado_civil","forma_pago","financiado","n_conductores","nivel_estudios","medio_contacto","n_siniestros","n_asistencia","n_fraude","n_gestiones","t_primer_sin","evento","t_baja","baja","motivo_fin","coste_total","coste_medio","tuvo_siniestro","bonus_malus_prev","bonus_malus_act"
1,"1","1",9.683,0.9683,20,"18-25",1,135,1880,3,12286,63,"rural",7770,"particular","turismo","gasolina","M","rojo","soltero","anual",0,1,"superior","telefonico",3,4,0,1,4.321,1,10,0,"fin_estudio",7725.52,2575.17,1,"5","4"
2,"1","1",2.54,0.254,34,"25-35",15,137,1858,7,23047,1429,"urbana",19807,"particular","turismo","gasolina","H","otro","soltero","anual",1,1,"superior","telematico",1,0,0,0,1.921,1,4.678,0,"fin_estudio",498.13,498.13,1,"3","2"
3,"1","1",2.298,0.2298,27,"25-35",4,94,1636,8,25733,565,"mixta",15266,"comercial","moto","diesel","H","gris","soltero","anual",0,2,"superior","presencial",0,0,0,1,2.298,0,2.298,1,"baja",0,NA,0,"1","1"
4,"1","1",5.688,0.5688,47,"35-65",11,141,2167,12,25296,414,"mixta",11791,"particular","turismo","gasolina","H","gris","soltero","anual",0,1,"basico","presencial",1,1,0,0,2.891,1,10,0,"fin_estudio",504.08,504.08,1,"3","3"
5,"1","1",6.448,0.6448,18,"18-25",0,55,860,2,37156,224,"mixta",18891,"comercial","turismo","gasolina","M","rojo","soltero","anual",0,2,"basico","presencial",1,3,1,0,5.632,1,10,0,"fin_estudio",2667.16,2667.16,1,"2","2"
6,"1","1",2.775,0.2775,35,"25-35",9,132,2348,13,21105,156,"mixta",10894,"particular","turismo","diesel","H","gris","casado","anual",1,1,"superior","presencial",1,0,0,1,1.118,1,2.775,1,"baja",968.85,968.85,1,"2","1"
7,"1","1",3.677,0.3677,18,"18-25",0,184,2635,13,34756,563,"mixta",13027,"comercial","moto","gasolina","H","rojo","casado","anual",0,1,"medio","telematico",0,2,0,1,3.677,0,5.978,0,"fin_estudio",0,NA,0,"1","1"
8,"1","1",4.28,0.428,43,"35-65",11,123,2113,11,25518,2020,"urbana",21937,"particular","turismo","gasolina","H","negro","casado","mensual",0,1,"basico","telefonico",2,1,1,2,1.042,1,4.28,1,"baja",2704.91,1352.45,1,"4","4"
9,"1","1",1.011,0.1011,35,"25-35",7,101,1718,5,30620,393,"mixta",11844,"particular","moto","gasolina","M","gris","soltero","anual",0,1,"basico","presencial",0,1,0,0,1.011,0,1.011,1,"baja",0,NA,0,"3","2"
10,"1","1",3.056,0.3056,53,"35-65",18,112,1981,15,25346,477,"mixta",12637,"particular","turismo","gasolina","M","rojo","casado","anual",0,1,"medio","telematico",0,0,0,0,3.056,0,3.056,1,"baja",0,NA,0,"2","1"
11,"1","1",3.182,0.3182,54,"35-65",29,68,985,2,30289,73,"rural",6503,"particular","furgoneta","gasolina","H","blanco","casado","anual",1,1,"superior","telefonico",1,0,0,0,2.281,1,3.182,1,"baja",1722.62,1722.62,1,"3","2"
12,"1","1",7.445,0.7445,60,"35-65",20,209,3319,21,27004,36,"rural",6918,"particular","turismo","gasolina","M","negro","otro","mensual",0,1,"medio","presencial",0,0,0,0,7.445,0,7.445,1,"baja",0,NA,0,"2","2"
13,"1","1",6.722,0.6722,27,"25-35",8,147,2530,11,28250,58,"rural",11164,"particular","furgoneta","diesel","H","blanco","casado","mensual",1,2,"basico","presencial",1,2,0,3,6.519,1,6.722,1,"baja",4106.04,4106.04,1,"2","3"
14,"1","1",1.214,0.1214,35,"25-35",14,135,2021,14,18000,168,"mixta",5497,"particular","turismo","diesel","M","gris","soltero","anual",1,1,"medio","presencial",0,0,0,0,1.214,0,1.214,1,"baja",0,NA,0,"2","2"
15,"1","1",0.27,0.027,34,"25-35",9,112,1923,10,23786,177,"mixta",12468,"particular","turismo","diesel","H","gris","soltero","anual",1,1,"medio","presencial",0,0,0,0,0.27,0,0.27,1,"baja",0,NA,0,"2","2"
16,"1","1",3.252,0.3252,52,"35-65",29,81,1385,8,18756,290,"mixta",6479,"particular","turismo","gasolina","M","rojo","soltero","anual",0,1,"medio","telefonico",0,0,0,1,3.252,0,3.252,1,"baja",0,NA,0,"1","1"
17,"1","1",6.372,0.6372,69,"65+",35,129,2307,1,6513,114,"rural",13375,"particular","turismo","diesel","H","otro","casado","anual",0,1,"basico","presencial",0,2,0,1,6.372,0,10,0,"fin_estudio",0,NA,0,"2","2"
18,"1","1",9.261,0.9261,59,"35-65",20,89,1575,7,33396,925,"mixta",17863,"particular","moto","gasolina","H","rojo","soltero","anual",0,1,"medio","telefonico",2,3,1,2,1.209,1,10,0,"fin_estudio",9451.78,4725.89,1,"2","1"
19,"1","1",4.387,0.4387,39,"35-65",14,180,2961,6,21985,437,"mixta",11656,"comercial","moto","gasolina","H","rojo","casado","anual",0,1,"basico","telematico",0,0,0,0,4.387,0,10,0,"fin_estudio",0,NA,0,"2","2"
20,"1","1",3.805,0.3805,45,"35-65",13,117,1952,10,16731,56,"rural",14108,"particular","turismo","diesel","H","blanco","casado","anual",0,2,"superior","presencial",0,0,0,0,3.805,0,3.805,1,"baja",0,NA,0,"1","1"
21,"1","1",1.805,0.1805,62,"35-65",29,78,1354,4,36336,809,"mixta",5198,"particular","turismo","diesel","H","otro","soltero","anual",0,1,"medio","presencial",0,1,0,0,1.805,0,10,0,"fin_estudio",0,NA,0,"2","2"
22,"1","1",2.873,0.2873,36,"35-65",17,55,955,6,25499,120,"rural",13264,"particular","turismo","gasolina","M","negro","otro","mensual",0,1,"superior","telematico",1,0,0,0,1.561,1,10,0,"fin_estudio",4239.07,4239.07,1,"5","4"
23,"1","1",8.402,0.8402,60,"35-65",40,55,800,8,30214,1424,"urbana",10405,"particular","moto","diesel","H","negro","soltero","anual",1,1,"medio","presencial",2,2,0,2,0.641,1,10,0,"fin_estudio",10605.73,5302.86,1,"2","2"
24,"1","1",3.592,0.3592,53,"35-65",33,103,1723,10,20070,416,"mixta",7091,"particular","furgoneta","diesel","M","blanco","soltero","mensual",0,2,"medio","presencial",2,0,0,0,2.256,1,10,0,"fin_estudio",1743.15,871.58,1,"4","5"
25,"1","1",9.595,0.9595,32,"25-35",10,101,1458,7,32277,2015,"urbana",18487,"particular","moto","gasolina","H","otro","otro","anual",1,1,"basico","presencial",9,3,0,4,1.842,1,10,0,"fin_estudio",33243.54,3693.73,1,"5","5"
26,"1","1",6.178,0.6178,26,"25-35",7,131,2249,6,19178,114,"rural",10914,"particular","turismo","diesel","H","rojo","casado","mensual",0,2,"medio","presencial",0,0,1,1,6.178,0,10,0,"fin_estudio",0,NA,0,"2","2"
27,"1","1",2.135,0.2135,67,"65+",29,98,1727,3,27702,2289,"urbana",24478,"particular","moto","gasolina","H","rojo","soltero","anual",1,1,"basico","telefonico",2,3,0,0,1.125,1,2.135,1,"baja",7259.84,3629.92,1,"5","5"
28,"1","1",1.485,0.1485,26,"25-35",5,105,1273,11,10072,432,"mixta",15053,"particular","turismo","diesel","H","blanco","soltero","anual",0,1,"basico","telefonico",0,2,0,0,1.485,0,1.485,1,"baja",0,NA,0,"4","4"
29,"1","1",3.33,0.333,27,"25-35",7,135,1759,5,26412,83,"rural",5475,"particular","turismo","gasolina","M","blanco","soltero","anual",0,1,"medio","presencial",0,2,0,0,3.33,0,6.924,0,"fin_estudio",0,NA,0,"1","1"
30,"1","1",9.768,0.9768,19,"18-25",1,154,1871,8,31938,198,"mixta",5476,"particular","turismo","diesel","M","blanco","casado","mensual",0,1,"superior","presencial",1,2,0,2,5.87,1,10,0,"fin_estudio",1502.07,1502.07,1,"4","4"
31,"1","1",9.539,0.9539,38,"35-65",15,152,1892,6,25269,541,"mixta",11064,"comercial","furgoneta","gasolina","H","rojo","casado","mensual",0,1,"basico","presencial",9,3,2,0,1.774,1,10,0,"fin_estudio",31763.96,3529.33,1,"5","5"
32,"1","1",0.302,0.0302,45,"35-65",27,95,1180,11,22833,689,"mixta",8381,"particular","turismo","gasolina","M","gris","casado","anual",0,1,"medio","presencial",0,0,0,0,0.302,0,0.302,1,"baja",0,NA,0,"4","4"
33,"1","1",1.015,0.1015,32,"25-35",11,123,1715,4,22843,1278,"urbana",3494,"particular","turismo","diesel","H","gris","soltero","anual",1,1,"superior","presencial",0,0,0,1,1.015,0,10,0,"fin_estudio",0,NA,0,"4","4"
34,"1","1",5.725,0.5725,64,"35-65",33,103,1760,5,22263,98,"rural",20550,"particular","turismo","diesel","H","otro","casado","mensual",0,1,"basico","presencial",2,4,0,0,2.949,1,10,0,"fin_estudio",3580.02,1790.01,1,"3","2"
35,"1","1",6.171,0.6171,35,"25-35",12,78,1338,4,23916,301,"mixta",12694,"comercial","turismo","gasolina","H","gris","soltero","mensual",1,1,"basico","presencial",0,3,1,1,6.171,0,10,0,"fin_estudio",0,NA,0,"1","1"
36,"1","1",1.731,0.1731,20,"18-25",2,151,1841,4,22257,62,"rural",9888,"comercial","turismo","gasolina","M","blanco","casado","mensual",1,3,"basico","presencial",0,0,0,1,1.731,0,1.731,1,"baja",0,NA,0,"3","2"
37,"1","1",1.073,0.1073,37,"35-65",10,99,1568,8,27333,36,"rural",7578,"particular","furgoneta","gasolina","H","blanco","otro","mensual",1,1,"medio","telematico",0,1,0,0,1.073,0,10,0,"fin_estudio",0,NA,0,"1","1"
38,"1","1",1.138,0.1138,40,"35-65",19,80,1161,2,34532,285,"mixta",8981,"particular","moto","diesel","H","otro","soltero","mensual",0,1,"medio","presencial",0,0,0,0,1.138,0,1.138,1,"baja",0,NA,0,"3","3"
39,"1","1",3.589,0.3589,65,"35-65",21,91,1617,13,26540,1754,"urbana",11353,"particular","moto","gasolina","H","blanco","casado","mensual",0,1,"basico","presencial",1,2,0,1,2.42,1,4.783,0,"fin_estudio",5441.78,5441.78,1,"2","2"
40,"1","1",6.55,0.655,59,"35-65",36,109,1449,9,30154,811,"mixta",15746,"particular","turismo","gasolina","H","gris","soltero","anual",0,2,"medio","telefonico",1,0,0,1,5.102,1,6.55,1,"baja",6015.8,6015.8,1,"4","4"
41,"1","1",3.804,0.3804,18,"18-25",0,77,996,5,16333,275,"mixta",17281,"particular","turismo","diesel","M","gris","casado","mensual",0,1,"superior","telematico",1,2,0,0,3.332,1,3.804,1,"baja",979.77,979.77,1,"1","2"
42,"1","1",2.297,0.2297,67,"65+",46,72,1260,10,3550,113,"rural",8723,"particular","turismo","diesel","H","otro","soltero","anual",0,1,"basico","presencial",0,0,0,0,2.297,0,3.791,0,"fin_estudio",0,NA,0,"3","2"
43,"1","1",9.988,0.9988,34,"25-35",14,205,2589,14,43107,762,"mixta",28592,"particular","furgoneta","diesel","M","gris","soltero","mensual",1,1,"basico","presencial",5,4,0,1,3.396,1,10,0,"fin_estudio",36272.18,7254.44,1,"5","5"
44,"1","1",1.876,0.1876,58,"35-65",30,151,1894,4,33772,201,"mixta",8921,"particular","moto","gasolina","H","gris","casado","mensual",1,1,"medio","telematico",0,0,0,1,1.876,0,1.876,1,"baja",0,NA,0,"2","2"
45,"1","1",8.16,0.816,37,"35-65",10,127,2103,14,22054,235,"mixta",9021,"particular","turismo","gasolina","H","blanco","casado","anual",0,2,"medio","presencial",2,2,1,1,0.132,1,10,0,"fin_estudio",6739.59,3369.8,1,"3","3"
46,"1","1",4.003,0.4003,36,"35-65",15,111,1926,9,17602,423,"mixta",10283,"particular","turismo","gasolina","M","rojo","otro","mensual",0,1,"basico","presencial",1,0,0,1,0.536,1,10,0,"fin_estudio",1409.72,1409.72,1,"4","4"
