"equipo","N","m_sin","disp_sin","p0_fraude","p_evento","p_baja","m_coste"
"equipo_01",3093,0.374,1.62,86,25,40,1919
"equipo_02",2989,0.801,2.37,82,38,39,2716
"equipo_03",2999,0.556,1.82,85,32,39,2240
"equipo_04",2983,0.657,1.6,85,36,41,2561
"equipo_05",3011,0.542,2.42,81,29,39,2409
"equipo_06",3058,0.581,1.53,88,33,39,2312
"equipo_07",3062,0.578,2.09,83,31,39,2325
"equipo_08",2997,0.592,1.84,85,33,41,2787
"equipo_09",2941,0.603,2.48,81,31,39,2123
"equipo_10",3003,0.511,1.93,86,28,41,1782
"equipo_11",3092,0.412,1.66,87,26,39,2021
"equipo_12",3060,0.744,2.29,80,37,38,2848
"equipo_13",3069,0.641,1.99,84,33,39,2281
"equipo_14",2989,0.645,1.6,84,35,41,2548
"equipo_15",2959,0.533,2.4,80,30,38,2221
"equipo_16",3067,0.576,1.52,89,33,40,2293
"equipo_17",3099,0.592,2.01,83,31,38,2427
"equipo_18",2924,0.631,1.99,84,33,41,2679
"equipo_19",3024,0.553,1.84,83,31,39,2075
"equipo_20",3054,0.521,2.14,86,29,39,2043
