"id_poliza","id_agencia","id_region","antiguedad","exposicion","edad_conductor","edad_tramo","antiguedad_carnet","potencia_cv","cilindrada","antiguedad_vehiculo","valor_vehiculo","densidad","zona_circulacion","km_anuales","uso","tipo_vehiculo","combustible","sexo","color_vehiculo","estado_civil","forma_pago","financiado","n_conductores","nivel_estudios","medio_contacto","n_siniestros","n_asistencia","n_fraude","n_gestiones","t_primer_sin","evento","t_baja","baja","motivo_fin","coste_total","coste_medio","tuvo_siniestro","bonus_malus_prev","bonus_malus_act"
1,"1","1",2.277,0.2277,33,"25-35",7,119,1596,6,22646,56,"rural",9264,"comercial","turismo","diesel","M","gris","soltero","mensual",1,1,"medio","telefonico",0,2,0,1,2.277,0,2.277,1,"baja",0,NA,0,"1","1"
2,"1","1",6.409,0.6409,59,"35-65",23,106,1398,15,41567,3334,"urbana",18918,"particular","turismo","diesel","H","blanco","casado","anual",1,3,"basico","telefonico",5,4,0,2,0.211,1,10,0,"fin_estudio",14285.77,2857.15,1,"4","5"
3,"1","1",2,0.2,64,"35-65",27,93,1177,4,37789,336,"mixta",9170,"particular","furgoneta","diesel","M","rojo","casado","anual",0,1,"medio","telefonico",0,1,0,1,2,0,5.927,0,"fin_estudio",0,NA,0,"1","1"
4,"1","1",6.174,0.6174,18,"18-25",0,79,1342,10,15444,1320,"urbana",4899,"particular","turismo","gasolina","H","blanco","soltero","mensual",0,1,"medio","presencial",0,1,1,2,6.174,0,10,0,"fin_estudio",0,NA,0,"1","1"
5,"1","1",4.638,0.4638,39,"35-65",11,72,1289,5,17083,491,"mixta",11512,"comercial","turismo","diesel","M","rojo","otro","mensual",1,1,"superior","presencial",0,0,0,1,4.638,0,5.409,0,"fin_estudio",0,NA,0,"4","3"
6,"1","1",7.81,0.781,39,"35-65",17,81,1177,11,25291,634,"mixta",26687,"particular","turismo","gasolina","H","gris","soltero","anual",0,2,"medio","presencial",0,5,0,4,7.81,0,10,0,"fin_estudio",0,NA,0,"1","1"
7,"1","1",9.103,0.9103,20,"18-25",1,163,2253,3,27677,3964,"urbana",12541,"particular","turismo","diesel","M","rojo","casado","mensual",0,1,"basico","presencial",7,2,0,3,0.389,1,9.103,1,"baja",14765.2,2109.31,1,"5","5"
8,"1","1",2.756,0.2756,38,"35-65",13,111,1586,7,27426,301,"mixta",7072,"particular","turismo","gasolina","M","rojo","soltero","anual",0,1,"basico","presencial",1,1,0,1,1.07,1,10,0,"fin_estudio",1365.61,1365.61,1,"4","4"
9,"1","1",1.01,0.101,67,"65+",45,165,2196,9,30659,363,"mixta",11977,"comercial","turismo","gasolina","H","rojo","soltero","anual",0,2,"medio","telematico",0,1,0,0,1.01,0,3.801,0,"fin_estudio",0,NA,0,"1","1"
10,"1","1",2.758,0.2758,39,"35-65",21,85,1336,5,41330,954,"mixta",15959,"particular","moto","diesel","H","gris","soltero","anual",1,1,"superior","telefonico",1,2,0,1,2.418,1,5.553,0,"fin_estudio",5521.51,5521.51,1,"2","3"
11,"1","1",3.464,0.3464,18,"18-25",0,123,1529,6,22116,717,"mixta",15208,"particular","turismo","diesel","M","rojo","casado","anual",0,1,"medio","telematico",3,1,0,1,0.194,1,3.464,1,"baja",12476.31,4158.77,1,"4","4"
12,"1","1",2.296,0.2296,50,"35-65",32,155,2669,4,34843,354,"mixta",12125,"particular","turismo","gasolina","M","blanco","casado","anual",0,1,"basico","telefonico",0,2,0,0,2.296,0,5.583,0,"fin_estudio",0,NA,0,"2","1"
13,"1","1",0.572,0.0572,42,"35-65",11,98,1276,2,36553,447,"mixta",10264,"particular","turismo","diesel","M","otro","casado","anual",0,3,"medio","presencial",0,0,0,1,0.572,0,0.572,1,"baja",0,NA,0,"2","2"
14,"1","1",5.376,0.5376,38,"35-65",19,110,1528,10,23575,134,"rural",22598,"comercial","turismo","gasolina","M","blanco","casado","mensual",0,1,"medio","presencial",1,3,0,2,5.366,1,5.376,1,"baja",3012.13,3012.13,1,"3","4"
15,"1","1",2.603,0.2603,74,"65+",23,138,1710,10,34548,429,"mixta",9286,"particular","turismo","diesel","M","otro","otro","mensual",0,1,"basico","telematico",2,1,0,0,0.303,1,4.225,0,"fin_estudio",12301.5,6150.75,1,"5","5"
16,"1","1",5.747,0.5747,18,"18-25",0,73,1015,12,16800,84,"rural",18643,"comercial","turismo","diesel","M","gris","soltero","mensual",0,1,"basico","telematico",2,1,0,1,2.284,1,10,0,"fin_estudio",3598.23,1799.11,1,"4","4"
17,"1","1",3.302,0.3302,48,"35-65",19,67,1009,7,19917,695,"mixta",10228,"particular","moto","diesel","H","gris","otro","anual",0,1,"basico","presencial",1,1,0,0,0.67,1,10,0,"fin_estudio",2020.24,2020.24,1,"4","4"
18,"1","1",0.541,0.0541,28,"25-35",7,70,1097,8,31235,1226,"urbana",9418,"particular","turismo","gasolina","H","blanco","soltero","anual",0,1,"basico","telematico",0,0,0,0,0.541,0,0.541,1,"baja",0,NA,0,"5","5"
19,"1","1",5.522,0.5522,43,"35-65",19,62,800,10,17437,393,"mixta",13636,"comercial","turismo","diesel","M","otro","casado","anual",0,1,"basico","telematico",1,2,1,1,3.393,1,10,0,"fin_estudio",569.33,569.33,1,"4","3"
20,"1","1",5.263,0.5263,23,"18-25",3,69,941,11,5316,2498,"urbana",14860,"particular","turismo","gasolina","M","rojo","casado","mensual",1,2,"basico","telefonico",3,2,0,2,0.174,1,5.263,1,"baja",4381.47,1460.49,1,"5","5"
21,"1","1",3.17,0.317,55,"35-65",31,123,2143,17,32511,910,"mixta",16616,"particular","turismo","diesel","M","blanco","casado","mensual",0,1,"medio","presencial",0,3,0,2,3.17,0,3.17,1,"baja",0,NA,0,"1","1"
22,"1","1",2.483,0.2483,32,"25-35",5,66,1024,12,23827,683,"mixta",15285,"particular","moto","diesel","H","blanco","casado","mensual",1,2,"medio","presencial",0,1,0,0,2.483,0,5.595,0,"fin_estudio",0,NA,0,"3","2"
23,"1","1",3.513,0.3513,24,"18-25",3,75,1215,5,26506,726,"mixta",11371,"particular","turismo","diesel","M","otro","soltero","mensual",1,2,"basico","presencial",1,0,0,1,2.251,1,10,0,"fin_estudio",1369.55,1369.55,1,"4","4"
