"id_poliza","k","t_k","coste_k","anio"
2,1,0.2114,1756.01,1
2,2,0.2164,2851.27,1
2,3,0.7168,5126.14,1
2,4,5.7725,1722.12,6
2,5,6.0322,2830.23,7
7,1,0.3894,312.23,1
7,2,0.5823,2508.9,1
7,3,1.4505,616.11,2
7,4,2.7496,451.3,3
7,5,2.8526,765.84,3
7,6,3.1733,4496.89,4
7,7,6.3974,5613.93,7
8,1,1.0702,1365.61,2
10,1,2.418,5521.51,3
11,1,0.1939,3426.05,1
11,2,0.7297,5807,1
11,3,0.7995,3243.26,1
14,1,5.3658,3012.13,6
15,1,0.3033,3139.69,1
15,2,1.8915,9161.81,2
16,1,2.284,1358.01,3
16,2,3.076,2240.22,4
17,1,0.6696,2020.24,1
19,1,3.3932,569.33,4
20,1,0.1745,2917.09,1
20,2,1.823,804,2
20,3,4.0261,660.38,5
23,1,2.251,1369.55,3
24,1,5.1797,1756.68,6
25,1,1.2946,2142.57,2
26,1,1.5465,1940.79,2
27,1,0.3295,1615.24,1
30,1,0.7167,2104.05,1
30,2,1.8202,1890.11,2
36,1,0.3407,3367.33,1
37,1,1.0844,595.66,2
42,1,1.3425,3796.9,2
42,2,1.4025,1302.73,2
46,1,1.4364,1770.28,2
48,1,0.6687,3770.58,1
53,1,0.7669,102.06,1
58,1,0.7128,678,1
59,1,1.2348,4352.25,2
64,1,0.4928,1724.72,1
65,1,1.6741,3997.83,2
66,1,2.3471,105.13,3
68,1,4.5357,834.08,5
69,1,2.2557,5082.69,3
69,2,2.4277,648.59,3
78,1,2.392,2955.92,3
80,1,5.6305,763.26,6
81,1,3.3174,439.25,4
84,1,0.1109,1520.5,1
89,1,2.7108,3392.03,3
90,1,0.0383,1296.69,1
92,1,3.2361,163.87,4
92,2,6.134,416.09,7
93,1,0.2785,514.66,1
94,1,2.1168,8048,3
94,2,2.7136,3923.16,3
94,3,3.2702,2187.33,4
96,1,0.2808,167.19,1
96,2,0.8364,884.17,1
99,1,2.1192,1125.63,3
101,1,1.8409,386.17,2
101,2,4.2703,321.14,5
103,1,0.2397,1246.96,1
103,2,1.0968,721.3,2
106,1,1.6355,829.62,2
106,2,3.0955,8352.48,4
107,1,0.5626,741.16,1
107,2,0.8606,1563.34,1
107,3,1.8473,1248.34,2
109,1,0.998,3011.76,1
109,2,1.8838,1578.23,2
112,1,1.6964,394.82,2
112,2,2.5553,1794.64,3
113,1,0.972,757.91,1
113,2,1.1293,776.87,2
113,3,3.515,5725.14,4
113,4,3.6634,1818.39,4
115,1,1.3637,3053.89,2
115,2,3.5312,1907.14,4
115,3,5.8436,1048.84,6
119,1,3.4895,373.64,4
119,2,3.5693,3315.49,4
126,1,1.2526,4631.31,2
126,2,1.5627,4145.51,2
126,3,4.5674,312.36,5
126,4,6.7338,1083.59,7
127,1,2.6462,1522.4,3
132,1,1.7159,3310.91,2
134,1,2.165,4535.18,3
136,1,3.7616,5853.88,4
136,2,5.1345,6817.36,6
141,1,0.0913,913.38,1
141,2,0.1386,2220.88,1
141,3,0.8261,1204.46,1
141,4,0.9651,4400.23,1
141,5,1.6245,1814.51,2
142,1,1.1153,1506.14,2
147,1,4.6931,491.36,5
147,2,5.0177,356.19,6
150,1,3.9063,197.59,4
156,1,3.3416,2213.08,4
156,2,3.88,975.34,4
163,1,0.3809,2946.68,1
163,2,2.4828,609.16,3
163,3,6.6703,1876.04,7
166,1,4.05,770.98,5
168,1,2.6211,1677.96,3
169,1,1.7187,2722.78,2
170,1,0.1721,6786.63,1
170,2,2.0585,2110.15,3
172,1,0.4445,2709.97,1
174,1,1.5085,479.27,2
175,1,5.3316,1762.45,6
180,1,1.4396,2152.6,2
180,2,3.6512,8136.95,4
188,1,1.4449,903.74,2
191,1,0.6147,1293.55,1
191,2,1.0001,2644.25,2
191,3,2.1217,2360.48,3
191,4,5.0116,89.06,6
191,5,5.4556,1807.32,6
191,6,5.9238,1065.32,6
191,7,6.1125,979.26,7
191,8,6.3712,4096.66,7
191,9,6.6239,231.59,7
215,1,2.2466,1912.68,3
217,1,0.9234,208.75,1
217,2,1.0873,1142.16,2
222,1,1.7795,2993.03,2
222,2,3.0016,970.34,4
225,1,0.5812,616.28,1
225,2,1.8346,3328.56,2
231,1,2.6382,4321.84,3
232,1,0.8584,988.58,1
235,1,3.3416,1753.4,4
238,1,3.014,2317.45,4
244,1,1.2845,367.25,2
245,1,6.8223,3628.37,7
245,2,7.3502,6742.88,8
245,3,9.1929,2381.75,10
246,1,3.4425,1991.17,4
248,1,0.1155,1883.44,1
251,1,0.0473,1866.96,1
251,2,4.4365,1296.88,5
255,1,0.7116,11588.43,1
255,2,1.8182,1369.02,2
256,1,1.4089,310.03,2
256,2,1.5659,515.95,2
256,3,1.6326,289.29,2
259,1,2.5897,459.15,3
263,1,0.5143,893.38,1
