"id_poliza","anio","tstart","tstop","expo_anual","n_partes_anual","edad_t","antig_veh_t","en_riesgo"
1,1,0,1,1,0,48,6,1
1,2,1,2,1,0,49,7,1
1,3,2,3,1,0,50,8,1
1,4,3,4,1,0,51,9,1
1,5,4,5,1,0,52,10,1
1,6,5,6,1,0,53,11,1
1,7,6,7,1,0,54,12,1
1,8,7,7.809,0.809,0,55,13,1
2,1,0,1,1,0,45,11,1
2,2,1,1.237,0.237,0,46,12,1
3,1,0,1,1,0,51,6,1
3,2,1,2,1,0,52,7,1
3,3,2,3,1,0,53,8,1
3,4,3,4,1,0,54,9,1
3,5,4,5,1,0,55,10,1
3,6,5,5.12,0.12,0,56,11,1
4,1,0,1,1,0,70,4,1
4,2,1,2,1,0,71,5,1
4,3,2,3,1,0,72,6,1
4,4,3,4,1,0,73,7,1
4,5,4,5,1,0,74,8,1
4,6,5,6,1,0,75,9,1
4,7,6,6.291,0.291,0,76,10,1
5,1,0,1,1,0,46,9,1
5,2,1,2,1,0,47,10,1
5,3,2,3,1,0,48,11,1
5,4,3,4,1,0,49,12,1
5,5,4,5,1,0,50,13,1
5,6,5,6,1,0,51,14,1
5,7,6,7,1,0,52,15,1
5,8,7,7.151,0.151,0,53,16,1
6,1,0,1,1,0,70,16,1
6,2,1,2,1,1,71,17,1
6,3,2,3,1,0,72,18,1
6,4,3,4,1,0,73,19,1
6,5,4,5,1,1,74,20,1
6,6,5,6,1,1,75,21,1
6,7,6,7,1,0,76,22,1
6,8,7,8,1,1,77,23,1
6,9,8,8.257,0.257,0,78,24,1
7,1,0,1,1,0,26,3,1
7,2,1,2,1,0,27,4,1
7,3,2,2.788,0.788,0,28,5,1
8,1,0,0.666,0.666,0,44,7,1
9,1,0,1,1,0,48,0,1
9,2,1,2,1,0,49,1,1
9,3,2,3,1,0,50,2,1
9,4,3,4,1,0,51,3,1
9,5,4,5,1,1,52,4,1
9,6,5,6,1,0,53,5,1
9,7,6,7,1,0,54,6,1
9,8,7,7.601,0.601,0,55,7,1
10,1,0,1,1,1,24,5,1
10,2,1,1.934,0.934,0,25,6,1
11,1,0,1,1,0,63,13,1
11,2,1,2,1,0,64,14,1
11,3,2,2.012,0.012,0,65,15,1
12,1,0,1,1,0,45,0,1
12,2,1,2,1,0,46,1,1
12,3,2,3,1,0,47,2,1
12,4,3,4,1,1,48,3,1
12,5,4,4.338,0.338,0,49,4,1
13,1,0,1,1,0,29,4,1
13,2,1,1.405,0.405,0,30,5,1
14,1,0,1,1,0,66,0,1
14,2,1,2,1,0,67,1,1
14,3,2,3,1,0,68,2,1
14,4,3,4,1,0,69,3,1
14,5,4,5,1,0,70,4,1
14,6,5,6,1,0,71,5,1
14,7,6,7,1,0,72,6,1
14,8,7,8,1,1,73,7,1
14,9,8,9,1,0,74,8,1
14,10,9,9.832,0.832,0,75,9,1
15,1,0,1,1,0,56,8,1
15,2,1,2,1,0,57,9,1
15,3,2,3,1,0,58,10,1
15,4,3,4,1,0,59,11,1
15,5,4,5,1,0,60,12,1
15,6,5,6,1,0,61,13,1
15,7,6,6.208,0.208,0,62,14,1
16,1,0,1,1,0,18,19,1
16,2,1,2,1,1,19,20,1
16,3,2,2.988,0.988,0,20,21,1
17,1,0,1,1,0,46,5,1
17,2,1,1.786,0.786,0,47,6,1
18,1,0,1,1,0,59,3,1
18,2,1,1.275,0.275,0,60,4,1
19,1,0,1,1,0,52,16,1
19,2,1,2,1,0,53,17,1
19,3,2,2.419,0.419,0,54,18,1
20,1,0,1,1,0,28,6,1
20,2,1,1.436,0.436,0,29,7,1
21,1,0,1,1,0,43,4,1
21,2,1,2,1,0,44,5,1
21,3,2,3,1,0,45,6,1
21,4,3,3.615,0.615,0,46,7,1
22,1,0,1,1,0,37,2,1
22,2,1,2,1,0,38,3,1
22,3,2,3,1,0,39,4,1
22,4,3,4,1,0,40,5,1
22,5,4,5,1,0,41,6,1
22,6,5,5.598,0.598,0,42,7,1
23,1,0,1,1,0,29,9,1
23,2,1,2,1,0,30,10,1
23,3,2,2.021,0.021,0,31,11,1
24,1,0,1,1,0,50,14,1
24,2,1,2,1,0,51,15,1
24,3,2,2.813,0.813,0,52,16,1
25,1,0,1,1,0,43,5,1
25,2,1,2,1,0,44,6,1
25,3,2,3,1,0,45,7,1
25,4,3,4,1,0,46,8,1
25,5,4,5,1,0,47,9,1
25,6,5,5.23,0.23,0,48,10,1
26,1,0,1,1,0,38,8,1
26,2,1,2,1,0,39,9,1
26,3,2,3,1,0,40,10,1
26,4,3,4,1,0,41,11,1
26,5,4,5,1,0,42,12,1
26,6,5,5.457,0.457,0,43,13,1
27,1,0,0.693,0.693,0,60,4,1
28,1,0,1,1,0,54,5,1
28,2,1,1.699,0.699,0,55,6,1
29,1,0,1,1,0,70,4,1
29,2,1,2,1,0,71,5,1
29,3,2,3,1,1,72,6,1
29,4,3,3.542,0.542,1,73,7,1
30,1,0,1,1,0,28,12,1
30,2,1,2,1,0,29,13,1
30,3,2,3,1,0,30,14,1
30,4,3,4,1,0,31,15,1
30,5,4,4.491,0.491,0,32,16,1
31,1,0,1,1,0,51,5,1
31,2,1,2,1,0,52,6,1
31,3,2,3,1,0,53,7,1
31,4,3,4,1,0,54,8,1
31,5,4,5,1,0,55,9,1
31,6,5,6,1,0,56,10,1
31,7,6,6.017,0.017,0,57,11,1
32,1,0,1,1,0,49,17,1
32,2,1,2,1,0,50,18,1
32,3,2,3,1,1,51,19,1
32,4,3,4,1,0,52,20,1
32,5,4,5,1,0,53,21,1
32,6,5,6,1,0,54,22,1
32,7,6,7,1,1,55,23,1
32,8,7,8,1,0,56,24,1
32,9,8,9,1,1,57,25,1
32,10,9,9.662,0.662,0,58,26,1
33,1,0,1,1,0,18,9,1
33,2,1,2,1,0,19,10,1
33,3,2,3,1,0,20,11,1
33,4,3,4,1,0,21,12,1
33,5,4,5,1,1,22,13,1
33,6,5,5.353,0.353,0,23,14,1
34,1,0,1,1,0,40,6,1
34,2,1,2,1,0,41,7,1
34,3,2,3,1,0,42,8,1
34,4,3,3.817,0.817,0,43,9,1
35,1,0,1,1,0,33,8,1
35,2,1,2,1,0,34,9,1
35,3,2,3,1,1,35,10,1
35,4,3,4,1,0,36,11,1
35,5,4,4.531,0.531,0,37,12,1
36,1,0,1,1,1,45,13,1
36,2,1,1.214,0.214,0,46,14,1
37,1,0,1,1,0,63,0,1
37,2,1,2,1,0,64,1,1
37,3,2,3,1,0,65,2,1
37,4,3,4,1,0,66,3,1
37,5,4,4.722,0.722,0,67,4,1
38,1,0,1,1,0,40,13,1
38,2,1,2,1,0,41,14,1
38,3,2,2.708,0.708,0,42,15,1
39,1,0,1,1,0,47,10,1
39,2,1,2,1,0,48,11,1
39,3,2,3,1,0,49,12,1
39,4,3,3.255,0.255,0,50,13,1
40,1,0,1,1,0,52,12,1
40,2,1,2,1,0,53,13,1
40,3,2,3,1,0,54,14,1
40,4,3,4,1,0,55,15,1
40,5,4,5,1,0,56,16,1
40,6,5,6,1,0,57,17,1
40,7,6,7,1,0,58,18,1
40,8,7,8,1,1,59,19,1
40,9,8,8.896,0.896,1,60,20,1
41,1,0,1,1,0,50,10,1
41,2,1,1.221,0.221,0,51,11,1
42,1,0,1,1,0,57,4,1
42,2,1,2,1,0,58,5,1
42,3,2,3,1,0,59,6,1
42,4,3,4,1,0,60,7,1
42,5,4,5,1,0,61,8,1
42,6,5,6,1,0,62,9,1
42,7,6,7,1,0,63,10,1
42,8,7,7.268,0.268,0,64,11,1
43,1,0,0.569,0.569,0,45,10,1
44,1,0,0.237,0.237,0,51,6,1
45,1,0,1,1,0,35,9,1
45,2,1,1.563,0.563,2,36,10,1
46,1,0,1,1,1,36,10,1
46,2,1,2,1,0,37,11,1
46,3,2,2.663,0.663,0,38,12,1
47,1,0,1,1,0,63,13,1
47,2,1,2,1,0,64,14,1
47,3,2,3,1,0,65,15,1
47,4,3,4,1,0,66,16,1
47,5,4,5,1,0,67,17,1
47,6,5,5.725,0.725,0,68,18,1
48,1,0,1,1,0,50,2,1
48,2,1,1.53,0.53,0,51,3,1
49,1,0,1,1,0,45,5,1
49,2,1,2,1,0,46,6,1
49,3,2,3,1,0,47,7,1
49,4,3,4,1,0,48,8,1
49,5,4,5,1,0,49,9,1
49,6,5,6,1,0,50,10,1
49,7,6,7,1,0,51,11,1
49,8,7,8,1,0,52,12,1
49,9,8,9,1,0,53,13,1
49,10,9,9.412,0.412,0,54,14,1
50,1,0,1,1,1,73,0,1
50,2,1,2,1,0,74,1,1
50,3,2,3,1,0,75,2,1
50,4,3,3.655,0.655,0,76,3,1
51,1,0,1,1,0,38,9,1
51,2,1,2,1,0,39,10,1
51,3,2,3,1,0,40,11,1
51,4,3,4,1,0,41,12,1
51,5,4,5,1,0,42,13,1
51,6,5,6,1,0,43,14,1
51,7,6,7,1,0,44,15,1
51,8,7,8,1,1,45,16,1
51,9,8,9,1,0,46,17,1
51,10,9,9.58,0.58,0,47,18,1
52,1,0,1,1,0,51,7,1
52,2,1,2,1,0,52,8,1
52,3,2,3,1,0,53,9,1
52,4,3,4,1,0,54,10,1
52,5,4,5,1,0,55,11,1
52,6,5,6,1,1,56,12,1
52,7,6,7,1,0,57,13,1
52,8,7,7.111,0.111,0,58,14,1
53,1,0,1,1,0,46,11,1
53,2,1,2,1,0,47,12,1
53,3,2,3,1,0,48,13,1
53,4,3,4,1,0,49,14,1
53,5,4,5,1,0,50,15,1
53,6,5,6,1,1,51,16,1
53,7,6,7,1,1,52,17,1
53,8,7,8,1,1,53,18,1
53,9,8,9,1,0,54,19,1
53,10,9,9.21,0.21,0,55,20,1
54,1,0,1,1,0,56,0,1
54,2,1,2,1,1,57,1,1
54,3,2,3,1,0,58,2,1
54,4,3,4,1,0,59,3,1
54,5,4,4.683,0.683,0,60,4,1
55,1,0,1,1,0,44,0,1
55,2,1,1.424,0.424,0,45,1,1
56,1,0,1,1,0,32,4,1
56,2,1,2,1,0,33,5,1
56,3,2,3,1,0,34,6,1
56,4,3,4,1,0,35,7,1
56,5,4,5,1,0,36,8,1
56,6,5,6,1,0,37,9,1
56,7,6,6.682,0.682,0,38,10,1
57,1,0,1,1,0,31,10,1
57,2,1,2,1,0,32,11,1
57,3,2,3,1,0,33,12,1
57,4,3,3.972,0.972,0,34,13,1
58,1,0,1,1,0,37,7,1
58,2,1,2,1,0,38,8,1
58,3,2,3,1,0,39,9,1
58,4,3,4,1,0,40,10,1
58,5,4,5,1,0,41,11,1
58,6,5,6,1,0,42,12,1
58,7,6,7,1,0,43,13,1
58,8,7,7.381,0.381,0,44,14,1
59,1,0,1,1,0,48,4,1
59,2,1,2,1,0,49,5,1
59,3,2,3,1,1,50,6,1
59,4,3,3.349,0.349,0,51,7,1
60,1,0,1,1,0,36,4,1
60,2,1,2,1,0,37,5,1
60,3,2,2.036,0.036,0,38,6,1
61,1,0,1,1,0,45,10,1
61,2,1,2,1,0,46,11,1
61,3,2,3,1,1,47,12,1
61,4,3,4,1,0,48,13,1
61,5,4,5,1,0,49,14,1
61,6,5,5.477,0.477,0,50,15,1
62,1,0,1,1,0,56,4,1
62,2,1,2,1,0,57,5,1
62,3,2,3,1,1,58,6,1
62,4,3,4,1,0,59,7,1
62,5,4,5,1,0,60,8,1
62,6,5,5.534,0.534,0,61,9,1
63,1,0,1,1,0,56,6,1
63,2,1,2,1,0,57,7,1
63,3,2,3,1,0,58,8,1
63,4,3,4,1,0,59,9,1
63,5,4,5,1,0,60,10,1
63,6,5,6,1,0,61,11,1
63,7,6,6.974,0.974,0,62,12,1
64,1,0,1,1,0,28,6,1
64,2,1,1.038,0.038,0,29,7,1
65,1,0,1,1,0,49,8,1
65,2,1,1.921,0.921,0,50,9,1
66,1,0,1,1,0,18,13,1
66,2,1,2,1,1,19,14,1
66,3,2,3,1,0,20,15,1
66,4,3,4,1,2,21,16,1
66,5,4,5,1,0,22,17,1
66,6,5,5.079,0.079,0,23,18,1
67,1,0,1,1,0,64,4,1
67,2,1,2,1,0,65,5,1
67,3,2,3,1,1,66,6,1
67,4,3,4,1,0,67,7,1
67,5,4,5,1,0,68,8,1
67,6,5,6,1,0,69,9,1
67,7,6,7,1,0,70,10,1
67,8,7,7.146,0.146,0,71,11,1
68,1,0,0.983,0.983,0,34,4,1
69,1,0,1,1,0,41,12,1
69,2,1,1.139,0.139,0,42,13,1
70,1,0,1,1,0,52,11,1
