"equipo","semilla","mult_tasa","mult_efecto","theta_nb","sigma_a","cero_int","persistencia"
"equipo_01",250101,0.8,0.9,0.8,0.5,0.2,0.5
"equipo_02",250102,1.2,1.2,1.2,0.7,0.4,0.6
"equipo_03",250103,1,1,1,0.45,0.1,0.55
"equipo_04",250104,0.9,0.8,1.5,0.8,0.5,0.62
"equipo_05",250105,1.3,1.3,0.7,0.6,0.3,0.48
"equipo_06",250106,0.7,0.7,1.3,0.55,0.35,0.58
"equipo_07",250107,1.1,1.1,0.9,0.75,0.15,0.52
"equipo_08",250108,0.95,0.95,1.6,0.4,0.45,0.65
"equipo_09",250109,1.25,1.25,1.1,0.65,0.25,0.5
"equipo_10",250110,0.85,0.85,1.4,0.5,0.1,0.56
