"id_maquina","dia","fecha","n_orden","antiguedad_anios","tiempo_desde_anterior","tipo_averia","dias_desde_mant","turno","tiempo_parada","coste_euros","id_averia","proceso","criticidad","fabricante","carga","plan_mantenimiento","intervalo_mant"
"M002",445.483047790127,2022-03-22,1,2.686,445.48,"Hidraulica",NA,"Noche",0.64,1130.87,"A00001","Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",1290.51809768425,2024-07-14,2,5.001,845.04,"Hidraulica",NA,"Tarde",0.71,585.8,"A00002","Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",1298.93444821006,2024-07-22,3,5.024,8.42,"Electronica",NA,"Mañana",0.9,633.36,"A00003","Corte","Auxiliar","A",0.88,"Correctivo",NA
"M004",23.4263109667227,2021-01-24,1,5.818,23.43,"Mecanica",NA,"Tarde",3.79,1594.34,"A00004","Acabado","Importante","A",0.734,"Correctivo",NA
"M004",35.6478591314517,2021-02-05,2,5.851,12.22,"Mecanica",NA,"Mañana",2.08,1341.57,"A00005","Acabado","Importante","A",0.734,"Correctivo",NA
"M004",57.4739276703913,2021-02-27,3,5.911,21.83,"Electrica",NA,"Mañana",3.04,1814.76,"A00006","Acabado","Importante","A",0.734,"Correctivo",NA
"M004",467.15733060101,2022-04-13,4,7.033,409.68,"Mecanica",NA,"Noche",3.89,1295.02,"A00007","Acabado","Importante","A",0.734,"Correctivo",NA
"M004",790.26791055291,2023-03-02,5,7.919,323.11,"Electronica",NA,"Mañana",0.42,2144.26,"A00008","Acabado","Importante","A",0.734,"Correctivo",NA
"M004",895.452774861827,2023-06-15,6,8.207,105.18,"Electrica",NA,"Mañana",2.63,1251.15,"A00009","Acabado","Importante","A",0.734,"Correctivo",NA
"M004",1275.78770692367,2024-06-29,7,9.249,380.33,"Electronica",NA,"Noche",1.1,961.98,"A00010","Acabado","Importante","A",0.734,"Correctivo",NA
"M005",262.697616189253,2021-09-20,1,5.377,262.7,"Hidraulica",42,"Noche",0.46,1049.68,"A00011","Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",675.009144183481,2022-11-07,2,6.507,412.31,"Mecanica",95,"Mañana",0.36,817.25,"A00012","Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",1012.16465882305,2023-10-10,3,7.431,337.16,"Electronica",72,"Tarde",0.43,1214.1,"A00013","Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M006",1189.02162514394,2024-04-04,1,2.378,868.02,"Mecanica",58,"Noche",14.32,1013.46,"A00014","Lijado","Critica","B",0.562,"Preventivo",90
"M006",1391.41217826167,2024-10-23,2,2.933,202.39,"Electronica",80,"Noche",14.1,1006.34,"A00015","Lijado","Critica","B",0.562,"Preventivo",90
"M007",245.192086548312,2021-09-03,1,2.883,245.19,"Hidraulica",NA,"Mañana",0.11,862.94,"A00016","Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M007",493.234874042217,2022-05-09,2,3.562,248.04,"Mecanica",NA,"Noche",1.03,237.05,"A00017","Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M007",563.920668022707,2022-07-18,3,3.756,70.69,"Electronica",NA,"Mañana",0.22,649.85,"A00018","Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M007",1057.64717532555,2023-11-24,4,5.109,493.73,"Electronica",NA,"Noche",0.91,437.13,"A00019","Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M007",1185.62883029249,2024-03-31,5,5.459,127.98,"Hidraulica",NA,"Noche",0.39,418.61,"A00020","Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M007",1247.79021767317,2024-06-01,6,5.63,62.16,"Hidraulica",NA,"Mañana",0.23,737.44,"A00021","Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M008",819.802258503158,2023-03-31,1,0.076,27.8,"Electronica",NA,"Noche",0.57,194.05,"A00022","Corte","Auxiliar","B",0.652,"Correctivo",NA
"M008",1254.06883862242,2024-06-08,2,1.266,434.27,"Electronica",NA,"Noche",0.06,103.38,"A00023","Corte","Auxiliar","B",0.652,"Correctivo",NA
"M009",611.994956165785,2022-09-04,1,0.868,316.99,"Electrica",76,"Mañana",4.21,812.4,"A00024","Ensamblaje","Importante","A",0.859,"Preventivo",120
"M009",690.059444590472,2022-11-22,2,1.082,78.06,"Electrica",35,"Mañana",1.39,1339.03,"A00025","Ensamblaje","Importante","A",0.859,"Preventivo",120
"M009",1378.73865159391,2024-10-10,3,2.969,688.68,"Electronica",3,"Mañana",2.34,2858.44,"A00026","Ensamblaje","Importante","A",0.859,"Preventivo",120
"M009",1432.29014512175,2024-12-03,4,3.116,53.55,"Mecanica",57,"Noche",0.91,734.04,"A00027","Ensamblaje","Importante","A",0.859,"Preventivo",120
"M010",1315.18173204781,2024-08-08,1,4.716,1315.18,"Hidraulica",NA,"Tarde",3.13,1631.6,"A00028","Lijado","Importante","A",0.637,"Correctivo",NA
"M010",1339.52910362696,2024-09-01,2,4.782,24.35,"Mecanica",NA,"Noche",0.56,513.53,"A00029","Lijado","Importante","A",0.637,"Correctivo",NA
"M011",629.720782798016,2022-09-22,1,0.539,196.72,"Electronica",16,"Noche",0.27,1134.36,"A00030","Ensamblaje","Auxiliar","A",0.752,"Preventivo",90
"M011",649.296620899113,2022-10-12,2,0.593,19.58,"Electrica",36,"Tarde",0.41,1010.28,"A00031","Ensamblaje","Auxiliar","A",0.752,"Preventivo",90
"M011",964.879482401069,2023-08-23,3,1.457,315.58,"Mecanica",81,"Tarde",0.75,539.36,"A00032","Ensamblaje","Auxiliar","A",0.752,"Preventivo",90
