"id_maquina","n_intervalo","tiempo_entre","evento","antiguedad_ini","proceso","criticidad","fabricante","carga","plan_mantenimiento","intervalo_mant"
"M001",1,1460,0,2.542,"Lijado","Importante","A",0.923,"Preventivo",120
"M002",1,445.48,1,1.466,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",2,845.04,1,2.686,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",3,8.42,1,5.001,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",4,161.07,0,5.024,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M003",1,622,0,0,"Acabado","Importante","C",0.427,"Correctivo",NA
"M004",1,23.43,1,5.753,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",2,12.22,1,5.818,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",3,21.83,1,5.851,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",4,409.68,1,5.911,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",5,323.11,1,7.033,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",6,105.18,1,7.919,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",7,380.33,1,8.207,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",8,184.21,0,9.249,"Acabado","Importante","A",0.734,"Correctivo",NA
"M005",1,262.7,1,4.658,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",2,412.31,1,5.377,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",3,337.16,1,6.507,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",4,447.84,0,7.431,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M006",1,868.02,1,0,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",2,202.39,1,2.378,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",3,68.59,0,2.933,"Lijado","Critica","B",0.562,"Preventivo",90
"M007",1,245.19,1,2.211,"Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M007",2,248.04,1,2.883,"Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M007",3,70.69,1,3.562,"Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M007",4,493.73,1,3.756,"Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M007",5,127.98,1,5.109,"Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M007",6,62.16,1,5.459,"Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M007",7,212.21,0,5.63,"Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M008",1,27.8,1,0,"Corte","Auxiliar","B",0.652,"Correctivo",NA
"M008",2,434.27,1,0.076,"Corte","Auxiliar","B",0.652,"Correctivo",NA
"M008",3,205.93,0,1.266,"Corte","Auxiliar","B",0.652,"Correctivo",NA
"M009",1,316.99,1,0,"Ensamblaje","Importante","A",0.859,"Preventivo",120
"M009",2,78.06,1,0.868,"Ensamblaje","Importante","A",0.859,"Preventivo",120
"M009",3,688.68,1,1.082,"Ensamblaje","Importante","A",0.859,"Preventivo",120
"M009",4,53.55,1,2.969,"Ensamblaje","Importante","A",0.859,"Preventivo",120
"M009",5,27.71,0,3.116,"Ensamblaje","Importante","A",0.859,"Preventivo",120
"M010",1,1315.18,1,1.112,"Lijado","Importante","A",0.637,"Correctivo",NA
"M010",2,24.35,1,4.716,"Lijado","Importante","A",0.637,"Correctivo",NA
"M010",3,120.47,0,4.782,"Lijado","Importante","A",0.637,"Correctivo",NA
"M011",1,196.72,1,0,"Ensamblaje","Auxiliar","A",0.752,"Preventivo",90
"M011",2,19.58,1,0.539,"Ensamblaje","Auxiliar","A",0.752,"Preventivo",90
"M011",3,315.58,1,0.593,"Ensamblaje","Auxiliar","A",0.752,"Preventivo",90
"M011",4,495.12,0,1.457,"Ensamblaje","Auxiliar","A",0.752,"Preventivo",90
"M012",1,259.08,1,3.29,"Ensamblaje","Auxiliar","A",0.674,"Correctivo",NA
"M012",2,188.05,1,4,"Ensamblaje","Auxiliar","A",0.674,"Correctivo",NA
"M012",3,83.09,1,4.515,"Ensamblaje","Auxiliar","A",0.674,"Correctivo",NA
"M012",4,457.65,1,4.743,"Ensamblaje","Auxiliar","A",0.674,"Correctivo",NA
"M012",5,8.52,1,5.997,"Ensamblaje","Auxiliar","A",0.674,"Correctivo",NA
"M012",6,114.92,1,6.02,"Ensamblaje","Auxiliar","A",0.674,"Correctivo",NA
"M012",7,15.85,1,6.335,"Ensamblaje","Auxiliar","A",0.674,"Correctivo",NA
"M012",8,332.83,0,6.379,"Ensamblaje","Auxiliar","A",0.674,"Correctivo",NA
"M013",1,713,0,0,"Lijado","Auxiliar","C",0.454,"Correctivo",NA
"M014",1,71.38,1,7.603,"Mecanizado","Auxiliar","C",0.854,"Preventivo",90
"M014",2,242.23,1,7.798,"Mecanizado","Auxiliar","C",0.854,"Preventivo",90
"M014",3,456.96,1,8.462,"Mecanizado","Auxiliar","C",0.854,"Preventivo",90
"M014",4,153.15,1,9.714,"Mecanizado","Auxiliar","C",0.854,"Preventivo",90
"M014",5,536.29,0,10.133,"Mecanizado","Auxiliar","C",0.854,"Preventivo",90
"M015",1,1460,0,6.148,"Acabado","Auxiliar","A",0.47,"Preventivo",90
"M016",1,361.08,1,0,"Acabado","Importante","C",0.609,"Correctivo",NA
"M016",2,110.83,1,0.989,"Acabado","Importante","C",0.609,"Correctivo",NA
"M016",3,276.13,1,1.293,"Acabado","Importante","C",0.609,"Correctivo",NA
"M016",4,31.83,1,2.049,"Acabado","Importante","C",0.609,"Correctivo",NA
"M016",5,226.14,0,2.137,"Acabado","Importante","C",0.609,"Correctivo",NA
"M017",1,296.58,1,7.918,"Lijado","Importante","A",0.931,"Correctivo",NA
"M017",2,694.5,1,8.73,"Lijado","Importante","A",0.931,"Correctivo",NA
"M017",3,26.02,1,10.633,"Lijado","Importante","A",0.931,"Correctivo",NA
"M017",4,336.91,1,10.704,"Lijado","Importante","A",0.931,"Correctivo",NA
"M017",5,105.98,0,11.627,"Lijado","Importante","A",0.931,"Correctivo",NA
"M018",1,98.86,1,4.173,"Corte","Auxiliar","A",0.51,"Correctivo",NA
"M018",2,82.69,1,4.443,"Corte","Auxiliar","A",0.51,"Correctivo",NA
"M018",3,453.32,1,4.67,"Corte","Auxiliar","A",0.51,"Correctivo",NA
"M018",4,374.65,1,5.912,"Corte","Auxiliar","A",0.51,"Correctivo",NA
"M018",5,300.86,1,6.938,"Corte","Auxiliar","A",0.51,"Correctivo",NA
"M018",6,149.63,0,7.763,"Corte","Auxiliar","A",0.51,"Correctivo",NA
"M019",1,1432.26,1,5.052,"Lijado","Importante","C",0.921,"Preventivo",60
"M019",2,27.74,0,8.976,"Lijado","Importante","C",0.921,"Preventivo",60
"M020",1,321.82,1,0,"Lijado","Critica","A",0.686,"Correctivo",NA
"M020",2,146.46,1,0.882,"Lijado","Critica","A",0.686,"Correctivo",NA
"M020",3,253.72,0,1.283,"Lijado","Critica","A",0.686,"Correctivo",NA
"M021",1,1276.68,1,3.847,"Corte","Importante","B",0.676,"Correctivo",NA
"M021",2,183.32,0,7.344,"Corte","Importante","B",0.676,"Correctivo",NA
