"id_maquina","proceso","criticidad","fabricante","fecha_alta","edad_alta","exposicion_dias","potencia_kw","carga","plan_mantenimiento","intervalo_mant"
"M001","Lijado","Importante","A",2018-06-18,2.54,1460,11.2,0.923,"Preventivo",120
"M002","Corte","Auxiliar","A",2019-07-16,1.47,1460,12,0.88,"Correctivo",NA
"M003","Acabado","Importante","C",2023-04-19,0,622,7.2,0.427,"Correctivo",NA
"M004","Acabado","Importante","A",2015-04-03,5.75,1460,11.2,0.734,"Correctivo",NA
"M005","Ensamblaje","Auxiliar","A",2016-05-07,4.66,1460,11.4,0.955,"Preventivo",120
"M006","Lijado","Critica","B",2021-11-18,0,1139,13.3,0.562,"Preventivo",90
"M007","Ensamblaje","Auxiliar","B",2018-10-17,2.21,1460,17.3,0.711,"Correctivo",NA
"M008","Corte","Auxiliar","B",2023-03-04,0,668,14.7,0.652,"Correctivo",NA
"M009","Ensamblaje","Importante","A",2021-10-23,0,1165,13,0.859,"Preventivo",120
"M010","Lijado","Importante","A",2019-11-22,1.11,1460,13.2,0.637,"Correctivo",NA
"M011","Ensamblaje","Auxiliar","A",2022-03-10,0,1027,14.2,0.752,"Preventivo",90
"M012","Ensamblaje","Auxiliar","A",2017-09-18,3.29,1460,12.2,0.674,"Correctivo",NA
"M013","Lijado","Auxiliar","C",2023-01-18,0,713,14.2,0.454,"Correctivo",NA
"M014","Mecanizado","Auxiliar","C",2013-05-28,7.6,1460,3,0.854,"Preventivo",90
"M015","Acabado","Auxiliar","A",2014-11-10,6.15,1460,11,0.47,"Preventivo",90
"M016","Acabado","Importante","C",2022-03-31,0,1006,7.2,0.609,"Correctivo",NA
"M017","Lijado","Importante","A",2013-02-02,7.92,1460,8.3,0.931,"Correctivo",NA
"M018","Corte","Auxiliar","A",2016-10-31,4.17,1460,13.1,0.51,"Correctivo",NA
"M019","Lijado","Importante","C",2015-12-15,5.05,1460,21.1,0.921,"Preventivo",60
"M020","Lijado","Critica","A",2023-01-09,0,722,7.8,0.686,"Correctivo",NA
"M021","Corte","Importante","B",2017-02-27,3.85,1460,23,0.676,"Correctivo",NA
"M022","Acabado","Auxiliar","A",2022-06-08,0,937,11.7,0.613,"Correctivo",NA
"M023","Mecanizado","Critica","C",2016-01-26,4.94,1460,5.3,0.559,"Preventivo",120
"M024","Corte","Critica","B",2016-05-15,4.64,1460,21.1,0.538,"Preventivo",90
"M025","Corte","Importante","B",2019-07-01,1.51,1460,9.5,0.746,"Correctivo",NA
"M026","Corte","Importante","C",2016-12-22,4.03,1460,7.7,0.575,"Preventivo",60
"M027","Mecanizado","Critica","A",2018-05-01,2.67,1460,14.4,0.665,"Correctivo",NA
"M028","Corte","Auxiliar","A",2015-12-04,5.08,1460,10.9,0.57,"Correctivo",NA
"M029","Ensamblaje","Importante","C",2013-02-01,7.92,1460,13.6,0.482,"Preventivo",90
"M030","Corte","Auxiliar","A",2013-02-08,7.9,1460,9.9,0.771,"Preventivo",60
"M031","Acabado","Auxiliar","C",2013-05-24,7.61,1460,14.2,0.533,"Preventivo",90
"M032","Ensamblaje","Auxiliar","B",2016-06-03,4.58,1460,16.1,0.63,"Preventivo",60
"M033","Acabado","Critica","B",2016-07-13,4.47,1460,10.2,0.763,"Correctivo",NA
"M034","Mecanizado","Auxiliar","C",2015-03-09,5.82,1460,15.8,0.736,"Correctivo",NA
"M035","Ensamblaje","Auxiliar","A",2015-04-13,5.73,1460,10.9,0.518,"Correctivo",NA
"M036","Acabado","Importante","B",2020-03-29,0.76,1460,8.1,0.708,"Correctivo",NA
"M037","Acabado","Importante","A",2019-11-22,1.11,1460,17.3,0.529,"Correctivo",NA
"M038","Acabado","Importante","A",2018-06-18,2.54,1460,15.4,0.24,"Correctivo",NA
"M039","Ensamblaje","Auxiliar","A",2016-04-02,4.75,1460,21.6,0.253,"Correctivo",NA
"M040","Mecanizado","Auxiliar","C",2013-01-23,7.95,1460,11.9,0.69,"Preventivo",90
"M041","Acabado","Auxiliar","C",2018-03-16,2.8,1460,9.6,0.328,"Preventivo",90
"M042","Ensamblaje","Auxiliar","B",2017-02-27,3.85,1460,5.5,0.889,"Correctivo",NA
"M043","Lijado","Auxiliar","B",2023-02-02,0,698,6.5,0.87,"Preventivo",90
"M044","Mecanizado","Critica","A",2018-09-04,2.33,1460,9.4,0.873,"Correctivo",NA
"M045","Ensamblaje","Auxiliar","A",2014-04-27,6.69,1460,10.7,0.734,"Correctivo",NA
"M046","Mecanizado","Critica","A",2017-08-30,3.34,1460,12.7,0.656,"Preventivo",60
