"id_maquina","id_planta","dia","tipo","fabricante","antiguedad_anios","plan_mantenimiento","tipo_intervencion","carga","temperatura","vibracion","degradacion","coste_euros"
"M0001","P05",180,"Torno","B",14.9115258815808,"Preventivo","Preventiva",0.818276697048731,42.745416025098,3.16826991556484,1.4484314460827,1310.04998398937
"M0003","P08",360,"Prensa","C",4.19246443178532,"Preventivo","Preventiva",0.441685667836437,30.3144448276191,1.6090283155415,1.47926381271322,638.780258565357
"M0004","P04",528.93733567181,"Torno","A",4.58732829746385,"Correctivo","Correctiva",0.785258048269907,44.2789011804441,4.11621344170599,1.6816116618802,821.774395561813
"M0005","P02",77.8486740747523,"Torno","C",4.36561317496029,"Preventivo","Correctiva",0.727440751626461,44.4541835291307,1.25927666741802,3.76984027907574,1824.24364515242
"M0006","P04",180,"Torno","C",13.6795364613762,"Preventivo","Preventiva",0.645767854892685,37.2861110751176,2.0871399758223,1.39672968251473,662.213049201519
"M0007","P08",180,"Fresadora","B",8.11565427205917,"Preventivo","Preventiva",0.855464385391083,36.500529406746,2.25358547026243,1.29857411139404,573.93833914547
"M0008","P03",540,"Fresadora","B",6.30898851682297,"Preventivo","Preventiva",0.772960608652581,46.0765203205174,1.38492096909593,0.621862040629089,326.505456289911
"M0009","P05",180,"Torno","A",5.43267065730236,"Preventivo","Preventiva",0.413163062634261,34.2457573250508,1.82115130623848,0.925755139386219,855.597659786016
"M0010","P03",299.214449607226,"Fresadora","A",20,"Preventivo","Correctiva",0.60664387055626,41.8517883279262,6.3176181440353,7.96458496325186,3100.59847732319
"M0013","P05",360,"Prensa","C",5.36867946769195,"Preventivo","Preventiva",0.801562930828639,40.8462260669751,3.00765444067313,3.03575178957642,1047.3024956668
"M0014","P03",512.34039252438,"Torno","A",8.14199957390096,"Preventivo","Correctiva",0.518612195609223,43.3880969086788,1.29292112401224,1.14849176318589,375.664600250308
"M0015","P04",421.549277823316,"Fresadora","A",3.11108170589836,"Correctivo","Correctiva",0.990053777371696,45.8138335508926,1.19214996102832,1.31847695892356,609.084579553678
"M0016","P12",653.710987805461,"Fresadora","A",4.42758976164773,"Correctivo","Correctiva",0.950746521722894,30.9859907315834,2.40808396506455,3.86470061445339,568.070020343761
"M0017","P04",360,"Fresadora","B",7.87048859354509,"Preventivo","Preventiva",0.826922904428469,41.1860957615841,1.28318477463356,1.10161614631619,933.45098980456
"M0018","P12",180,"Torno","A",5.26338776603968,"Preventivo","Preventiva",0.926507706326727,41.4181532621254,2.46068954202785,1.22356757644268,1002.28953064653
"M0019","P05",265.720539779432,"Prensa","A",6.46937367799336,"Preventivo","Correctiva",0.654559965705851,37.9878959106874,2.73143121118843,5.42841496254959,1939.5525847069
"M0021","P10",180,"Fresadora","A",9.05944094017905,"Preventivo","Preventiva",0.573805782115724,39.2757717792954,1.12338506314523,0.740780331492753,412.2475431161
"M0022","P12",180,"Fresadora","B",7.61938706937498,"Preventivo","Preventiva",0.406801048965845,27.44125751076,1.0577331506869,0.342908218534155,452.080606822395
"M0025","P07",180,"Prensa","C",2.1482844922742,"Preventivo","Preventiva",0.910019845173927,34.6096644848725,1.06833602274992,1.2860321421642,660.10968690033
"M0027","P03",360,"Fresadora","B",8.66749851043722,"Preventivo","Preventiva",0.554239696555006,42.1030583706399,1.0428247774411,0.803448096204578,427.493695505427
"M0029","P07",180,"Fresadora","A",3.63342820332728,"Preventivo","Preventiva",0.934954918133278,39.0634091950408,1.84519443983823,2.15358504362378,206.75691696859
"M0030","P01",659.526181078723,"Torno","B",10.5213070939167,"Correctivo","Correctiva",0.398963154515913,36.8858526940747,1.4101369054407,1.41638896734158,838.03666949308
"M0031","P08",160.471553296846,"Fresadora","A",4.12238920275552,"Preventivo","Correctiva",0.790445672039242,37.6263381254826,1.26011265114979,1.75770984468556,1008.57853398258
"M0032","P03",482.868889596976,"Prensa","C",8.2251896346894,"Correctivo","Correctiva",0.929684119768096,46.8006808367455,1.9109722383178,4.80920900906828,2954.67816403163
"M0033","P02",180,"Torno","B",2.44936765977783,"Preventivo","Preventiva",0.626857704952689,37.713738426614,1.1105259783016,1.63330633828643,459.794675605996
"M0036","P01",102.677576575507,"Torno","A",8.36934089382059,"Preventivo","Correctiva",1,52.8186358661187,3.03254873776458,6.58644052284037,2374.28796441122
"M0038","P12",241.217941567259,"Fresadora","B",2.74736523533282,"Correctivo","Correctiva",0.388507308601621,28.7627744840967,0.849886953258995,1.8494727066094,1172.45317844947
"M0039","P03",579.093298554847,"Torno","A",11.0393210498864,"Preventivo","Correctiva",0.618884518563384,39.0203691467896,3.25068075063809,2.17614405670556,1813.96791932841
"M0040","P12",180,"Prensa","C",3.58454250700664,"Preventivo","Preventiva",0.938207994422165,42.2218234564876,2.02427176273001,4.27223516013854,1435.72497466587
"M0041","P07",356.395919961721,"Torno","B",6.64400274277554,"Correctivo","Correctiva",0.451550579977893,26.0833075101346,0.887798025945384,2.59738171851469,878.283002299324
"M0042","P10",534.313599042192,"Prensa","B",7.91059002990387,"Correctivo","Correctiva",0.827653765184101,41.009015399224,2.93395630538044,2.51480849584225,1676.91147639598
"M0045","P01",562.574799732231,"Fresadora","C",9.02752707334931,"Correctivo","Correctiva",0.984624700453409,48.0789428155631,2.55647340999751,3.3766551064892,1576.8236072356
"M0046","P07",180,"Fresadora","B",4.29226398730063,"Preventivo","Preventiva",0.683490899870557,29.8985448084442,1.18916362089053,1.36615019928704,639.569480188626
"M0047","P03",360,"Torno","A",5.66339320771455,"Preventivo","Preventiva",0.875012483603525,45.627188593353,1.8415766343579,2.38774951334795,1350.4680763294
"M0048","P05",540,"Fresadora","C",7.16958333884728,"Preventivo","Preventiva",0.561583572061546,36.7205459702553,1.78675284866604,1.86951238164392,639.476205796681
"M0049","P01",360,"Prensa","B",4.27941705519195,"Preventivo","Preventiva",0.796088584598203,42.8979509639087,1.56374236304393,1.62542631091505,532.617387612954
"M0050","P02",180,"Prensa","A",7.76998899369449,"Preventivo","Preventiva",0.58743144717349,40.4212215316021,1.41894487723867,2.32870165254655,417.308799764904
"M0052","P12",180,"Prensa","B",6.63220463177582,"Preventivo","Preventiva",0.530091158263141,30.7963670381084,0.665270208779161,1.52073250625875,838.484988191076
"M0053","P02",180,"Torno","B",4.76780900821015,"Preventivo","Preventiva",0.693737648695845,41.6651050682915,0.672260337851368,0.883247132112399,380.619661614162
"M0054","P09",180,"Prensa","C",4.08310832927631,"Preventivo","Preventiva",0.654127770756167,37.2306643673314,1.01869203661802,0.341423632345235,249.976214758343
"M0055","P06",180,"Prensa","B",5.62299077849157,"Preventivo","Preventiva",0.283858519047501,25.2191879292342,1.03378198464743,0.619325317666967,851.009596824779
"M0057","P11",679.044450193688,"Fresadora","A",12.4337841001061,"Correctivo","Correctiva",0.484587377472645,32.7443769602204,1.77630688913185,2.10056054863852,1694.79801863235
"M0058","P07",180,"Fresadora","A",6.12888215220076,"Preventivo","Preventiva",0.776551612530429,31.0764038155095,1.05482098666856,1.11472831466716,571.645593058427
"M0059","P08",360,"Torno","B",1.33408884785264,"Preventivo","Preventiva",0.821703174024946,36.16373179539,1.14721944175936,0.670413759374155,168.622232917373
"M0060","P01",124.931255963589,"Fresadora","A",14.0633395089646,"Correctivo","Correctiva",0.834635370623194,46.1599094309167,2.59482968227965,2.82590234918623,1921.37067010396
"M0061","P12",180,"Prensa","B",4.91108047133707,"Preventivo","Preventiva",0.750106864230142,35.442501185689,3.30297138494584,3.59660224619677,1534.06016328149
"M0063","P08",666.798615459179,"Torno","B",5.61780950000676,"Correctivo","Correctiva",0.677458711181746,29.7451873783257,2.70592637640913,2.40577147422971,1231.59246019335
"M0064","P07",125.3019453872,"Prensa","C",13.2723410055815,"Preventivo","Correctiva",1,39.7007295007183,4.64995377293387,6.54646690303294,2988.00399632605
"M0065","P05",149.207463457374,"Torno","C",2.75455267333815,"Preventivo","Correctiva",0.62594903494701,44.6537291461665,1.6025140277287,2.12810172563194,2114.76716207999
"M0066","P04",360,"Prensa","A",2.85643330183712,"Preventivo","Preventiva",0.923992507064384,43.9277577158031,1.99185462768717,2.6959940222607,462.590979043152
"M0067","P09",151.571165840719,"Torno","C",11.2141317712183,"Preventivo","Correctiva",0.415194607199229,37.8209206916584,2.08266502509525,4.6206916210987,1147.68064327099
"M0068","P04",213.642974218935,"Torno","A",6.82621655109159,"Correctivo","Correctiva",0.806141399299782,39.999482001424,1.83603632979944,2.81193217352708,1836.45864356205
"M0069","P06",493.600372480758,"Torno","A",13.4717699222283,"Correctivo","Correctiva",0.76246291064194,41.9059312684444,2.79593901857447,2.78338708557556,295.685036129872
"M0070","P09",180,"Torno","B",8.82583749033378,"Preventivo","Preventiva",0.699339222268698,39.7818439549769,1.28591881268042,0.724824447417528,435.478075781726
"M0071","P12",180,"Torno","C",5.88173153151503,"Preventivo","Preventiva",0.766602924353136,36.1617526932782,2.49940787580316,2.29863003447275,606.986497028297
"M0072","P08",694.358006046299,"Fresadora","C",9.30275381720937,"Correctivo","Correctiva",0.824027511417,35.4071182570515,2.00203931005231,2.51930626693907,993.862055749862
"M0073","P09",180,"Prensa","C",6.14083579785596,"Preventivo","Preventiva",0.840214639962312,41.947280896818,1.55838969481362,3.34470007448293,619.065258393637
"M0076","P10",128.411126528306,"Fresadora","C",11.3198341508032,"Preventivo","Correctiva",0.515103514797616,37.4212761432492,2.20682536832867,3.25837511899048,1129.80596623596
"M0077","P07",180,"Fresadora","B",14.0567792314736,"Preventivo","Preventiva",0.555721963191322,30.3516975848368,2.24448685422583,0.705968703410246,607.918243429977
"M0079","P12",442.748035783055,"Prensa","B",6.20279123693797,"Correctivo","Correctiva",0.850079948706334,41.6435971130175,2.21577337128208,3.53825504733665,1676.53535529476
"M0080","P01",548.125974348234,"Prensa","B",2.60929870428288,"Correctivo","Correctiva",0.857118845099263,43.8140168397082,3.09215027313775,4.5219078167849,1108.76335300689
"M0081","P01",428.170022931565,"Prensa","B",4.32595270250137,"Correctivo","Correctiva",0.800355590044877,47.4045344009771,1.33016374052789,3.70761796170003,1666.45333971585
"M0082","P07",261.918149341391,"Torno","A",4.46525247282922,"Correctivo","Correctiva",0.718144815186675,27.3029688852208,2.15570543199403,2.79850042684315,845.638770419466
"M0083","P10",180,"Torno","C",9.00677086171073,"Preventivo","Preventiva",0.734762134980138,37.8873994632235,3.45104907286847,1.17812683898897,665.58811683708
"M0084","P04",672.136695632879,"Torno","B",16.3786101298833,"Correctivo","Correctiva",0.781651228475812,44.6119225206234,2.08434878886777,3.22685208246952,1211.00183706495
"M0085","P06",709.393246897084,"Prensa","A",5.57477688850719,"Correctivo","Correctiva",0.659966693321668,33.931485235027,1.81211263214791,2.10970560957942,1508.52024144713
"M0086","P10",540,"Prensa","B",7.64601081195587,"Preventivo","Preventiva",0.739679420712082,39.3750865147478,4.17444012212002,3.33123172999987,1249.24122153789
"M0089","P03",373.841135476991,"Fresadora","A",12.7505959225542,"Correctivo","Correctiva",0.844205585987333,46.2961260240269,3.85338053378924,6.71752022680221,5908.5890224879
"M0090","P04",360,"Torno","C",5.04166534530804,"Preventivo","Preventiva",0.813573598646657,41.9252202826909,2.88555352924787,1.89025049851249,463.635441028928
"M0091","P08",180,"Torno","A",8.96075047224379,"Preventivo","Preventiva",0.793782689522352,37.7537178223609,1.48960365514439,0.777529103980259,348.950215655683
"M0092","P08",360,"Fresadora","C",14.4064556426924,"Preventivo","Preventiva",0.769781098637277,35.193900742351,2.52897525257519,1.29088081928243,568.207013885553
"M0093","P06",180,"Torno","B",4.72331998984498,"Preventivo","Preventiva",0.48756801689209,29.835369094489,1.14487959411485,0.634484726953993,191.01817823909
"M0094","P06",360,"Fresadora","A",3.00537203806502,"Preventivo","Preventiva",0.45192039346661,27.5577698732341,1.04496411259064,0.757915632196691,382.445841988788
"M0095","P11",180,"Fresadora","A",7.52812771271762,"Preventivo","Preventiva",0.535569051144254,30.5958457066414,1.44863489041363,2.30684124454012,1742.38526801459
"M0096","P08",383.00339698673,"Torno","C",6.20665406274569,"Correctivo","Correctiva",0.671527685435726,33.0538766360552,1.19347058695426,2.17783579695603,1046.05492984945
"M0097","P08",101.268033572217,"Fresadora","A",7.04173892393341,"Preventivo","Correctiva",1,46.5958743381808,3.03533240350496,4.91468463379167,2535.75440557356
"M0098","P12",519.044206504052,"Prensa","C",11.8447248856039,"Preventivo","Correctiva",0.88762193202175,47.0703063029169,1.97778930106293,3.32887976615276,3668.57815302743
"M0099","P09",553.340236067073,"Fresadora","B",3.1990341486141,"Correctivo","Correctiva",0.775871856516193,39.4229551612949,1.0703366896481,1.19384405811209,320.485542295144
"M0100","P10",180,"Torno","B",5.47288289011522,"Preventivo","Preventiva",0.928507732466229,37.2584238806987,2.41818452843639,2.81846873314957,824.903644200517
"M0101","P06",398.159624376671,"Prensa","B",1.98290527556468,"Correctivo","Correctiva",0.600091117040224,32.541269343765,0.567455674651855,0.489507177183775,332.260477895931
"M0103","P05",180,"Torno","A",4.71035455541961,"Preventivo","Preventiva",0.820791587503976,39.3273204506257,2.03695974275152,2.41635054082614,598.344814951208
"M0104","P08",180,"Fresadora","B",9.07352036113374,"Preventivo","Preventiva",0.783664352091502,36.5051662642029,0.726385163061678,0.856479218899346,786.692687474447
"M0105","P05",360,"Prensa","B",11.3909334588817,"Preventivo","Preventiva",0.695490389724501,43.1684133468381,1.15172063177214,1.27662473815513,1746.3583350993
"M0106","P11",180,"Prensa","B",9.75837305893178,"Preventivo","Preventiva",0.660368662156655,34.6837466362318,0.793350040436537,1.2247888522707,1278.92452418083
"M0108","P09",142.251991480299,"Torno","B",6.05292348731471,"Preventivo","Correctiva",0.744368671765098,39.351509771542,1.87693197922416,0.958618306719704,666.922073411815
"M0109","P12",563.406751751895,"Torno","B",3.69557515151628,"Correctivo","Correctiva",0.895091564086306,36.3273689570513,2.38712271163584,8.29957417617928,1908.62660518881
"M0110","P03",432.11526382432,"Fresadora","B",6.69656216769673,"Correctivo","Correctiva",0.90452568542561,46.853872337665,3.51068504759603,4.89510543354369,847.97521235035
"M0111","P01",287.766457067046,"Prensa","C",9.99130522711645,"Preventivo","Correctiva",0.712367788530781,41.0652111283706,1.68679845116603,3.77435973197812,2199.67304879433
"M0112","P09",177.785423664178,"Torno","B",17.7981778302321,"Preventivo","Correctiva",0.596006332167685,40.5125732055129,1.17063130854179,0.761130050729556,761.510751835913
"M0113","P12",180,"Torno","B",2.32869802296647,"Preventivo","Preventiva",0.823037535390257,37.9639853468866,1.20791608525853,0.964049007683105,329.721583124753
"M0114","P05",55.0596124851174,"Fresadora","A",3.6705927954092,"Correctivo","Correctiva",0.360693037987309,33.8694339535175,0.604022034577934,0.762395263785025,746.893317789928
"M0115","P06",180,"Prensa","B",5.39397254270428,"Preventivo","Preventiva",0.746367318286226,34.5612831405659,2.64196318056584,2.02983998477062,549.124197141577
"M0116","P01",180,"Fresadora","B",3.2417936030374,"Preventivo","Preventiva",0.600099358191309,36.993790576925,1.84619099642056,1.71075790613395,402.45135706498
