"id_maquina","id_planta","tipo","fabricante","antiguedad_anios","capacidad_kw","carga_media","plan_mantenimiento","calidad_mantenimiento","tiempo","fallo"
"M0001","P05","Torno","B",14.9115258815808,132.638493208597,0.837456486089701,"Preventivo",0.552982935374633,669.218994641162,1
"M0002","P07","Fresadora","A",8.66794752709964,73.6792938542316,0.535080990769871,"Correctivo",0.833908884598662,720,0
"M0003","P08","Prensa","C",4.19246443178532,114.426900859818,0.448847499450103,"Preventivo",0.720227099612121,720,0
"M0004","P04","Torno","A",4.58732829746385,80.254357157769,0.833150051291127,"Correctivo",0.594337764396895,528.93733567181,1
"M0005","P02","Torno","C",4.36561317496029,85.7080723710378,0.68535376958811,"Preventivo",0.680793683287145,77.8486740747523,1
"M0006","P04","Torno","C",13.6795364613762,83.7864335113892,0.624194588277721,"Preventivo",0.594337764396895,643.10601597403,1
"M0007","P08","Fresadora","B",8.11565427205917,77.8195622909994,0.886886362453305,"Preventivo",0.720227099612121,318.571878298041,1
"M0008","P03","Fresadora","B",6.30898851682297,92.2108199791169,0.723597634040007,"Preventivo",0.551092236535844,675.568397995296,1
"M0009","P05","Torno","A",5.43267065730236,65.7716187116633,0.422493974139075,"Preventivo",0.552982935374633,407.799957705734,1
"M0010","P03","Fresadora","A",20,51.0138786194276,0.721820823740038,"Preventivo",0.551092236535844,299.214449607226,1
"M0011","P11","Torno","B",2.69819624023969,84.5424865138629,0.672866892348615,"Correctivo",0.733413789787234,720,0
"M0012","P08","Fresadora","A",4.93300975470238,81.7651501180425,0.602599617401864,"Correctivo",0.720227099612121,720,0
"M0013","P05","Prensa","C",5.36867946769195,102.125121376985,0.888592442086801,"Preventivo",0.552982935374633,720,0
"M0014","P03","Torno","A",8.14199957390096,85.1499732800671,0.527385965501393,"Preventivo",0.551092236535844,512.34039252438,1
"M0015","P04","Fresadora","A",3.11108170589836,60.4461684358241,0.826609045004279,"Correctivo",0.594337764396895,421.549277823316,1
"M0016","P12","Fresadora","A",4.42758976164773,40.0323274897679,0.931508663311239,"Correctivo",0.774328743039631,653.710987805461,1
"M0017","P04","Fresadora","B",7.87048859354509,87.7698544964833,0.85081104696227,"Preventivo",0.594337764396895,526.790049136333,1
"M0018","P12","Torno","A",5.26338776603968,94.2978800378886,0.929526030922197,"Preventivo",0.774328743039631,720,0
"M0019","P05","Prensa","A",6.46937367799336,78.4713255328633,0.781902269496105,"Preventivo",0.552982935374633,265.720539779432,1
"M0020","P07","Fresadora","B",1.24370958039143,82.2656477163488,0.88084840375601,"Correctivo",0.833908884598662,720,0
"M0021","P10","Fresadora","A",9.05944094017905,95.4400477513351,0.593028328392664,"Preventivo",0.787786282105075,554.339736550531,1
