"id_maquina","anio","coste_total","n_averias","exposicion","proceso","criticidad","fabricante","carga","plan_mantenimiento","intervalo_mant"
"M001",1,0,0,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",2,0,0,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",3,0,0,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",4,0,0,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M002",1,0,0,1,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",2,1130.87,1,1,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",3,0,0,1,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M002",4,1219.16,2,1,"Corte","Auxiliar","A",0.88,"Correctivo",NA
"M003",3,0,0,0.704,"Acabado","Importante","C",0.427,"Correctivo",NA
"M003",4,0,0,1,"Acabado","Importante","C",0.427,"Correctivo",NA
"M004",1,4750.67,3,1,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",2,1295.02,1,1,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",3,3395.41,2,1,"Acabado","Importante","A",0.734,"Correctivo",NA
"M004",4,961.98,1,1,"Acabado","Importante","A",0.734,"Correctivo",NA
"M005",1,1049.68,1,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",2,817.25,1,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",3,1214.1,1,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M005",4,0,0,1,"Ensamblaje","Auxiliar","A",0.955,"Preventivo",120
"M006",1,0,0,0.121,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",2,0,0,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",3,0,0,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M006",4,2019.8,2,1,"Lijado","Critica","B",0.562,"Preventivo",90
"M007",1,862.94,1,1,"Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M007",2,886.9,2,1,"Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M007",3,437.13,1,1,"Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M007",4,1156.05,2,1,"Ensamblaje","Auxiliar","B",0.711,"Correctivo",NA
"M008",3,194.05,1,0.83,"Corte","Auxiliar","B",0.652,"Correctivo",NA
"M008",4,103.38,1,1,"Corte","Auxiliar","B",0.652,"Correctivo",NA
"M009",1,0,0,0.192,"Ensamblaje","Importante","A",0.859,"Preventivo",120
"M009",2,2151.43,2,1,"Ensamblaje","Importante","A",0.859,"Preventivo",120
"M009",3,0,0,1,"Ensamblaje","Importante","A",0.859,"Preventivo",120
"M009",4,3592.48,2,1,"Ensamblaje","Importante","A",0.859,"Preventivo",120
"M010",1,0,0,1,"Lijado","Importante","A",0.637,"Correctivo",NA
"M010",2,0,0,1,"Lijado","Importante","A",0.637,"Correctivo",NA
"M010",3,0,0,1,"Lijado","Importante","A",0.637,"Correctivo",NA
"M010",4,2145.13,2,1,"Lijado","Importante","A",0.637,"Correctivo",NA
"M011",2,2144.64,2,0.814,"Ensamblaje","Auxiliar","A",0.752,"Preventivo",90
"M011",3,539.36,1,1,"Ensamblaje","Auxiliar","A",0.752,"Preventivo",90
"M011",4,0,0,1,"Ensamblaje","Auxiliar","A",0.752,"Preventivo",90
"M012",1,1471.08,1,1,"Ensamblaje","Auxiliar","A",0.674,"Correctivo",NA
"M012",2,1885.37,2,1,"Ensamblaje","Auxiliar","A",0.674,"Correctivo",NA
"M012",3,4764.91,2,1,"Ensamblaje","Auxiliar","A",0.674,"Correctivo",NA
"M012",4,2573.84,2,1,"Ensamblaje","Auxiliar","A",0.674,"Correctivo",NA
"M013",3,0,0,0.953,"Lijado","Auxiliar","C",0.454,"Correctivo",NA
"M013",4,0,0,1,"Lijado","Auxiliar","C",0.454,"Correctivo",NA
"M014",1,1371.44,2,1,"Mecanizado","Auxiliar","C",0.854,"Preventivo",90
"M014",2,0,0,1,"Mecanizado","Auxiliar","C",0.854,"Preventivo",90
"M014",3,1047.78,2,1,"Mecanizado","Auxiliar","C",0.854,"Preventivo",90
"M014",4,0,0,1,"Mecanizado","Auxiliar","C",0.854,"Preventivo",90
"M015",1,0,0,1,"Acabado","Auxiliar","A",0.47,"Preventivo",90
"M015",2,0,0,1,"Acabado","Auxiliar","A",0.47,"Preventivo",90
"M015",3,0,0,1,"Acabado","Auxiliar","A",0.47,"Preventivo",90
"M015",4,0,0,1,"Acabado","Auxiliar","A",0.47,"Preventivo",90
"M016",2,0,0,0.756,"Acabado","Importante","C",0.609,"Correctivo",NA
"M016",3,1675.25,2,1,"Acabado","Importante","C",0.609,"Correctivo",NA
"M016",4,2556.71,2,1,"Acabado","Importante","C",0.609,"Correctivo",NA
"M017",1,1232.02,1,1,"Lijado","Importante","A",0.931,"Correctivo",NA
"M017",2,0,0,1,"Lijado","Importante","A",0.931,"Correctivo",NA
"M017",3,1063.14,2,1,"Lijado","Importante","A",0.931,"Correctivo",NA
"M017",4,533.08,1,1,"Lijado","Importante","A",0.931,"Correctivo",NA
"M018",1,662.39,2,1,"Corte","Auxiliar","A",0.51,"Correctivo",NA
"M018",2,467.99,1,1,"Corte","Auxiliar","A",0.51,"Correctivo",NA
"M018",3,1079.59,1,1,"Corte","Auxiliar","A",0.51,"Correctivo",NA
"M018",4,1271.22,1,1,"Corte","Auxiliar","A",0.51,"Correctivo",NA
"M019",1,0,0,1,"Lijado","Importante","C",0.921,"Preventivo",60
"M019",2,0,0,1,"Lijado","Importante","C",0.921,"Preventivo",60
"M019",3,0,0,1,"Lijado","Importante","C",0.921,"Preventivo",60
"M019",4,275.82,1,1,"Lijado","Importante","C",0.921,"Preventivo",60
"M020",3,1347.94,1,0.978,"Lijado","Critica","A",0.686,"Correctivo",NA
"M020",4,461.59,1,1,"Lijado","Critica","A",0.686,"Correctivo",NA
"M021",1,0,0,1,"Corte","Importante","B",0.676,"Correctivo",NA
"M021",2,0,0,1,"Corte","Importante","B",0.676,"Correctivo",NA
"M021",3,0,0,1,"Corte","Importante","B",0.676,"Correctivo",NA
"M021",4,482.73,1,1,"Corte","Importante","B",0.676,"Correctivo",NA
"M022",2,0,0,0.567,"Acabado","Auxiliar","A",0.613,"Correctivo",NA
"M022",3,0,0,1,"Acabado","Auxiliar","A",0.613,"Correctivo",NA
"M022",4,654.12,1,1,"Acabado","Auxiliar","A",0.613,"Correctivo",NA
"M023",1,0,0,1,"Mecanizado","Critica","C",0.559,"Preventivo",120
"M023",2,0,0,1,"Mecanizado","Critica","C",0.559,"Preventivo",120
"M023",3,0,0,1,"Mecanizado","Critica","C",0.559,"Preventivo",120
"M023",4,920.47,1,1,"Mecanizado","Critica","C",0.559,"Preventivo",120
"M024",1,0,0,1,"Corte","Critica","B",0.538,"Preventivo",90
"M024",2,2573.94,1,1,"Corte","Critica","B",0.538,"Preventivo",90
"M024",3,0,0,1,"Corte","Critica","B",0.538,"Preventivo",90
"M024",4,1222.15,1,1,"Corte","Critica","B",0.538,"Preventivo",90
"M025",1,4292.93,3,1,"Corte","Importante","B",0.746,"Correctivo",NA
"M025",2,737.1,1,1,"Corte","Importante","B",0.746,"Correctivo",NA
