"id_maquina","mes","tstart","tstop","exposicion","n_fallos","fallo","antiguedad","dias_desde_mant","mant_reciente","proceso","criticidad","fabricante","carga","plan_mantenimiento","intervalo_mant"
"M001",1,0,30,30,0,0,2.584,103,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",2,30,60,30,0,0,2.666,13,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",3,60,90,30,0,0,2.748,43,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",4,90,120,30,0,0,2.83,73,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",5,120,150,30,0,0,2.912,103,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",6,150,180,30,0,0,2.995,13,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",7,180,210,30,0,0,3.077,43,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",8,210,240,30,0,0,3.159,73,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",9,240,270,30,0,0,3.241,103,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",10,270,300,30,0,0,3.323,13,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",11,300,330,30,0,0,3.405,43,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",12,330,360,30,0,0,3.488,73,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",13,360,390,30,0,0,3.57,103,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",14,390,420,30,0,0,3.652,13,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",15,420,450,30,0,0,3.734,43,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",16,450,480,30,0,0,3.816,73,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",17,480,510,30,0,0,3.899,103,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",18,510,540,30,0,0,3.981,13,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",19,540,570,30,0,0,4.063,43,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",20,570,600,30,0,0,4.145,73,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",21,600,630,30,0,0,4.227,103,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",22,630,660,30,0,0,4.31,13,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",23,660,690,30,0,0,4.392,43,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",24,690,720,30,0,0,4.474,73,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",25,720,750,30,0,0,4.556,103,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",26,750,780,30,0,0,4.638,13,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",27,780,810,30,0,0,4.721,43,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",28,810,840,30,0,0,4.803,73,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",29,840,870,30,0,0,4.885,103,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",30,870,900,30,0,0,4.967,13,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",31,900,930,30,0,0,5.049,43,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",32,930,960,30,0,0,5.132,73,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",33,960,990,30,0,0,5.214,103,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",34,990,1020,30,0,0,5.296,13,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",35,1020,1050,30,0,0,5.378,43,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",36,1050,1080,30,0,0,5.46,73,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",37,1080,1110,30,0,0,5.542,103,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",38,1110,1140,30,0,0,5.625,13,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",39,1140,1170,30,0,0,5.707,43,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",40,1170,1200,30,0,0,5.789,73,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",41,1200,1230,30,0,0,5.871,103,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",42,1230,1260,30,0,0,5.953,13,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",43,1260,1290,30,0,0,6.036,43,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",44,1290,1320,30,0,0,6.118,73,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",45,1320,1350,30,0,0,6.2,103,0,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",46,1350,1380,30,0,0,6.282,13,1,"Lijado","Importante","A",0.923,"Preventivo",120
"M001",47,1380,1410,30,0,0,6.364,43,1,"Lijado","Importante","A",0.923,"Preventivo",120
