id_maquina,id_planta,dia,tipo,fabricante,antiguedad_anios,plan_mantenimiento,tipo_intervencion,carga,temperatura,vibracion,degradacion,coste_euros
M0001,P12,180,Prensa,C,5.202988276279934,Preventivo,Preventiva,0.5474763147655679,28.380826721281164,1.0925955284537776,0.5181603760943226,637.4780441970258
M0002,P07,594.5825162300195,Prensa,C,3.6762763066202924,Correctivo,Correctiva,0.733557961442853,32.51145845875635,2.9332431882005867,3.542611435036632,2580.9173238718386
M0003,P01,180,Fresadora,B,5.083074133764403,Preventivo,Preventiva,0.39163504800305216,26.811725836179875,1.2007141070493133,0.6800925035027225,639.8008596019155
M0004,P02,129.56460674476958,Fresadora,C,8.198833195198594,Correctivo,Correctiva,0.7514923938648096,44.020103271736346,1.9420261398351144,4.084274613802122,2061.337462546988
M0005,P06,221.9324105352887,Prensa,B,6.876888436743804,Correctivo,Correctiva,0.6988432276733085,40.41977424174664,2.4334489282229863,2.0328631041969882,1037.2629352467204
M0006,P02,628.0324199864955,Torno,B,3.5367039514837195,Correctivo,Correctiva,0.5671773153749593,29.07885046522229,1.1087798482051843,1.673813950529921,609.1476584057845
M0007,P02,36.70434456214889,Fresadora,A,14.716830779227914,Preventivo,Correctiva,0.8207296955791757,42.56452786176741,3.369603084203639,3.9562266760663927,1747.5546612743622
M0008,P09,106.2618337795465,Fresadora,B,7.394858071363304,Correctivo,Correctiva,0.7039878028217076,36.785592497970505,2.655124049191174,2.2862032484619044,318.254136834573
M0009,P02,41.38763689281862,Prensa,A,14.703478684920903,Preventivo,Correctiva,0.7306764006336344,43.56986338348192,2.9023014186981118,4.98257513703454,3155.633269561616
M0010,P08,6.375155534355858,Torno,A,6.836351968540154,Preventivo,Correctiva,0.6644635725711122,43.71291986137451,1.0191112205563448,1.9452706572067664,480.9709343049804
M0011,P06,7.1150745942938025,Torno,A,6.562099675073943,Correctivo,Correctiva,0.8751196808803279,45.736827567070904,2.341197529062643,4.30290758408592,1672.566890344524
M0012,P12,43.04025570950613,Prensa,A,10.424826081220223,Correctivo,Correctiva,0.8199941505211025,34.44832127763311,3.59205824193127,5.688842986017826,5523.832202546006
M0013,P10,217.29672631620846,Prensa,C,3.7538516059392717,Correctivo,Correctiva,0.6384140785823245,34.15138857196457,1.04270840166903,2.4117649236944723,2198.5162360110394
M0014,P06,246.01829673910368,Fresadora,C,5.17710394462889,Preventivo,Correctiva,0.35050768125616377,29.795583015294994,0.7098266650068011,1.23624154308075,839.8597958317343
