id_maquina,id_planta,dia,tiempo_anios,tipo,fabricante,plan_mantenimiento,antiguedad_anios,carga,temperatura_observada,vibracion_observada,degradacion,mantenimiento_realizado,dias_desde_mantenimiento,mantenimiento_reciente,tiempo,fallo
M0001,P12,0,0,Prensa,C,Preventivo,5.202988276279934,0.5563816014790457,32.41099182129961,0.6928084621224231,2.9556963225469315,FALSE,0,0,386.0642356194676,1
M0001,P12,30,0.0821917808219178,Prensa,C,Preventivo,5.202988276279934,0.6671250825349819,29.948601406596893,NA,0.8833940406407336,FALSE,30,0,386.0642356194676,1
M0001,P12,60,0.1643835616438356,Prensa,C,Preventivo,5.202988276279934,0.6619757685614738,33.638538919871344,0.9251804802308834,2.634414742919133,FALSE,60,0,386.0642356194676,1
M0001,P12,90,0.2465753424657534,Prensa,C,Preventivo,5.202988276279934,0.6418975462114715,31.028557696145292,0.8277368814103847,0.8224018042811074,FALSE,90,0,386.0642356194676,1
M0001,P12,120,0.3287671232876712,Prensa,C,Preventivo,5.202988276279934,0.6962732287514145,35.62047006901423,1.1891395785819194,1.6919760526652232,FALSE,120,0,386.0642356194676,1
M0001,P12,150,0.410958904109589,Prensa,C,Preventivo,5.202988276279934,0.5863533680847075,32.68232401716338,0.8328048142810776,1.1724170351431797,FALSE,150,0,386.0642356194676,1
M0001,P12,180,0.4931506849315068,Prensa,C,Preventivo,5.202988276279934,0.5474763147655679,28.380826721281164,1.0925955284537776,0.5181603760943226,TRUE,0,1,386.0642356194676,1
M0001,P12,210,0.5753424657534246,Prensa,C,Preventivo,5.202988276279934,0.4977174925188289,26.772425430420604,0.7441313379210938,1.1126067821745222,FALSE,30,1,386.0642356194676,1
M0001,P12,240,0.6575342465753424,Prensa,C,Preventivo,5.202988276279934,0.5921529423161589,28.730800866297315,0.6324550135245441,1.398954555583475,FALSE,60,1,386.0642356194676,1
M0001,P12,270,0.7397260273972602,Prensa,C,Preventivo,5.202988276279934,0.6176407606808421,25.35385862999669,0.7148266514705767,0.7710490303794508,FALSE,90,1,386.0642356194676,1
M0001,P12,300,0.821917808219178,Prensa,C,Preventivo,5.202988276279934,0.44884249659863484,26.39829887361808,0.7322940640563534,1.2438094266413446,FALSE,120,0,386.0642356194676,1
M0001,P12,330,0.9041095890410958,Prensa,C,Preventivo,5.202988276279934,0.6925297058636675,28.875092266525353,1.268832144674255,1.7480098978589642,FALSE,150,0,386.0642356194676,1
M0001,P12,360,0.9863013698630136,Prensa,C,Preventivo,5.202988276279934,0.5679702891543787,27.310040993294713,0.8895428803026751,0.807068447095147,TRUE,0,1,386.0642356194676,1
M0002,P07,0,0,Prensa,C,Correctivo,3.6762763066202924,0.7376537121012529,33.90940161327033,1.362310363180759,2.466332285353571,FALSE,0,0,594.5825162300195,1
M0002,P07,30,0.0821917808219178,Prensa,C,Correctivo,3.6762763066202924,0.7196714911231132,31.198371882853202,1.407620794118209,4.189666923990344,FALSE,30,0,594.5825162300195,1
M0002,P07,60,0.1643835616438356,Prensa,C,Correctivo,3.6762763066202924,0.78616268420827,32.87172381695596,1.6018613985161205,3.472838473371588,FALSE,60,0,594.5825162300195,1
M0002,P07,90,0.2465753424657534,Prensa,C,Correctivo,3.6762763066202924,0.7326233430250335,NA,1.7472959808834487,1.7342493193245754,FALSE,90,0,594.5825162300195,1
M0002,P07,120,0.3287671232876712,Prensa,C,Correctivo,3.6762763066202924,0.7404793288218202,33.02401178181891,2.1274899677292787,2.1200792883175748,FALSE,120,0,594.5825162300195,1
M0002,P07,150,0.410958904109589,Prensa,C,Correctivo,3.6762763066202924,0.7468370493538314,30.793995697621547,1.8921206566379178,3.1752290831322822,FALSE,150,0,594.5825162300195,1
M0002,P07,180,0.4931506849315068,Prensa,C,Correctivo,3.6762763066202924,0.8073697990691219,NA,2.5312587481989115,4.577041933561851,FALSE,180,0,594.5825162300195,1
M0002,P07,210,0.5753424657534246,Prensa,C,Correctivo,3.6762763066202924,0.6081487085383881,26.44356385014939,1.429088637741672,2.6101216114599763,FALSE,210,0,594.5825162300195,1
